id,巴西葡萄牙语
136,A sala está fechada
137,"Falha ao entrar. Falha ao fazer download do mapa, pois está danificado. (Recomendamos fazer o compartilhamento antecipadamente)."
138,Nível de ativação:
139,Conquistas obtidas:
140,Informação
141,Avatar
142,Uso
143,Desbloquear
144,Insira o UID do autor
145,UID
146,Rede instável.  Por Favor tente novamente mais tarde.
147,Selecionar categoria
148,Normal
149,Bom
150,Excelente
151,Os líderes que você está seguindo estão indisponíveis.
152,"Desculpe, tente novamente após atualizar a lista de mapas."
153,Nome
154,Jogador
155,Tipo
156,Descrição
157,Atualizar agora
158,Versão do jogo muito antiga. Por Favor atualizar.
159,"Uma vez que o mapa arquivado não é compartilhado, o mapa não pode ser baixado e restaurado"
160,O arquivo precisa ser baixado novamente. Quer iniciar o download?
161,"A rede está instável, o upload/download está suspenso, verifique a rede e tente novamente"
162,Não há mapas que você esteja seguindo. Por Favor cheque alguns compartilhamentos agora.
163,"Ao entrar no jogo, os dados serão convertidos em salvamento. Isso pode demorar alguns minutos. Por Favor aguarde e não saia do jogo."
164,Última sala que entrou
165,Você está trapaceando. As consequências serão severas.
166,Título
167,Tag
168,Tipo
169,Intro
170,Público
171,Privado
172,Descrições boas tendem a atrair mais pessoas a fazerem download\n (Acima de 60 caracteres)
173,Atualizar compartilhamento
174,Inscrições
175,Insira UID
176,Meus compartilhamentos
177,Voltar
178,Esta pessoa não deixou nenhuma descrição
179,Por Favor avalie este mapa se você gostou!
180,Confirmar
181,O nome do arquivo não pode ser vazio
182,Capacidades da montaria
183,Tempo de incubação
184,Instantâneo
185,Obter
186,Usar
187,Melhorar
188,Você ainda não tem arquivos compartilhados
189,Este jogador não possui mapas compartilhados
190,Ranking padrão
191,Popular
192,Avaliação
193,Tópicos Pop
194,Últimos
195,Rankings
196,Ativar
197,Acelerar
198,Colher
199,Pessoas que lhe ajudaram:
200,A planta #c0aba1d cresce bem#n
201,A planta está precisando ser #cffda0aregada#n
202,A planta está precisando de muita #cff3d2bágua#n
203,Poderá obter:
204,Contagem:
205,(Acelerar)
206,Ativar
207,Visitar jardins de amigos
208,Pontuação
209,Amigos
210,Fãs
211,Avatar
212,Nome
213,Derrotas
214,Amigos
215,Montaria
216,(Pré-visualização)
217,Esperar por ressurreição
218,"Mudar de conta, por favor note: #r1.Não se esqueça de fazer o upload de arquivos importantes salvos para evitar as perdas. #r2. Se você encontrar uma mensagem de erro de senha, tente alternar e fazer o login novamente"
219,Esta sala está fechada devido a instabilidade de rede.
220,"Ao fechar a sala, os jogadores serão expulsos."
221,"Ao sair do jogo, os jogadores serão expulsos"
222,Iniciar jogo: 3
223,Iniciar jogo: 2
224,Iniciar jogo: 1
225,Vai!
226,Entendi
227,Padrão
228,Nota
229,@self deu a @other um grande golpe!
230,O ataque de @self atingiu @other com precisão!
231,@self@enviou @other de volta ao ponto de ressurreição!
232,@self fez um combo duplo!
233,@self fez um combo triplo!
234,@Self é muito afiado!
235,@self não pode ser parado!
236,@self está dominando este jogo!
237,@self está prestes a passar de Deus!
238,"@self é muito incrível, quem poderá pará-lo?"
239,@self é como um Deus!
240,@self ultrapassou Deus! Por Favor pare-o.
241,Atualização de versão
242,Sem notícias ainda
243,@self parou o combo triplo de @other!
244,@self impediu o ataque de @other!
245,@self tirou o estado de invencibilidade de @other!
246,@self parou a dominação de @other!
247,@self parou o estado de superação de Deus de @other!
248,@self parou a loucura de @other
249,@self parou o estado de Deus de @other!
250,@self parou o estado de superação de Deus de @other!
251,Sua montaria atual está pronta para convocar a montaria principal!
252,Montaria Principal só pode eclodir após @num dias no jogo
253,Você não pode sentar no estado atual.
254,Muito longe para sentar.
255,Comerciante da rua
256,(Novas chegadas)
257,"Bem-vindo, posso ajudá-lo?\n"
258,Saindo
259,Restante:
260,Esgotado
261,Vendedor ambulante
262,O empresário foi embora.
263,Plano de fundo
264,"Ooh, ooh, ooh, o que você quer?"
265,@Null@
266,"Falha ao comprar, tente mais tarde"
267,A versão é muito baixa para atualizar a skin
268,O item ainda não foi desbloqueado e não pode ser usado.
269,Não é possível salvar o arquivo devido a espaço insuficiente. Por Favor limpe o armazenamento e tente novamente.
270,Vitória
271,Derrota
272,Empate
273,Código de Ativação
274,Código de ativação do pacote de presente
275,Ativado!
276,Vá até a loja para ver suas recompensas
277,e clique em Armazenar
278,Ver recompensas
279,"Por favor, insira o código de ativação do pacote"
280,"Trocas oficiais de grupos de botões (1 grupo 238888081, 2 grupos 238888082, 3 grupos 238888083)"
281,"Por favor, insira o código de ativação!"
282,"A rede está instável, verifique a conexão de rede"
283,O código de ativação foi usado e não pode ser recuperado
284,O código de ativação que você inseriu está incorreto
285,Parabéns por ativar o pacote
286,Rede instável/erro de plataforma/pacote já coletado.
287,Manter pressionado
288,Toque para colocar a caixa de ferramentas!
289,Meus arquivos
290,Online
291,Comum
292,Construção
293,Maquinária
294,Mochila
295,Ferramentas
296,Cultivo
297,Mobilias
298,Cubos
299,Editar
300,"Faltando #cfa7a0f madeira #n, colete madeira para fazer algumas tábuas"
301,"Primeiro selecione o ícone #cfa7a0f Ferramentas #n e, em seguida, clique no botão #cfa7a0f Fazer #n à direita"
302,"Produção ausente #cfa7a0f
Picareta de madeira
material do #n, vá cortar a árvore novamente para obter #cfa7a0f madeira#n"
303,"Escolha #cfa7a0f
Picareta de madeira
#n, clique no botão #cfa7a0f fazer #n à direita"
304,"Bem-vindo ao Mini World. Primeiro, vamos #cfa7a0f nos familiarizar com a operação #n, #cfa7a0f clique na tela #n"
305,#cfa7a0f Deslize a tela #n para a esquerda ou direita para ficar de frente
306,#cfa7a0fDeslize#n o controlador para #cfa7a0fmover#n. Tente andar para frente.
307,"#cfa7a0fMatenha o cubo pressionado#n (a seta aponta para o local), contínue coletar até #cfa7a0fdanificar o cubo#n."
308,"Muito bem, todos os blocos podem ser destruídos e obtidos, clique em #cfa7a0f para receber #n recompensas"
309,"Siga a flecha para encontrar árvores. #cfa7a0fMantenha pressionado #n em cubos de árvore (onde o dedo está apontando), para obter #cfa7a0fmadeira#n"
310,Excelente. Corte árvores com um machado para obter #cfa7a0fMadeira#n rapidamente.
311,Agora abra a #cfa7a0fMochila#n para sintetizar uma #cfa7a0fCaixa de Ferramentas#n com #cfa7a0fMadeiras#n
312,Toque em #cfa7a0fFazer#n
313,#cfa7a0fCaixa de Ferramentas#n pode sintetizar e fazer diversos itens avançados. Portanto é necessário para o dia-a-dia.
314,Coloque a mais nova #cfa7a0fCaixa de Ferramentas#n sintetizada na #cfa7a0fBarra de atalhos#n
315,Toque no chão para colocar a #cfa7a0fCaixa de Ferramentas#n
316,#cfa7a0fToque#n para abrir a caixa de ferramentas
317,Item feito com sucesso. Você pode explorar minérios com #cfa7a0fPicareta de Madeira#n no jogo.
318,"Toque no#cfa7a0f Pão de Trigo#n (coloque na barra de atalhos), e aparecerá a opção de #cfa7a0fusar#n"
319,#cfa7a0fClique #n no botão#cfa7a0fusar#n na direita para comer o pão.
320,O botão #cfa7a0fusar#n somente aparecerá quando for selecionado itens não usados na barra de atalhos.
321,Vamos colocar a usar o #cfa7a0fCapacete#n que você obteve. Abra a mochila primeiro.
322,Toque em #cfa7a0fEquipamentos do Personagem#n
323,Toque em #cfa7a0fCapacete#n
324,Descrição e propriedades do #cfa7a0fCapacete#n aparecerá. Toque no botão de #cfa7a0fEquipar#n.
325,Excelente! Não é fácil? Vamos matar os #cfa7a0fmonstros#n! Toque #cfa7a0f×#n no canto superior esquerdo para fechar a tela.
326,Cuidado! Um monstro está se aproximando #cfa7a0fDeslize a tela #n para a esquerda ou para a direita para enfrentar o monstro #cfa7a0fToque #n o monstro para atacar
327,Parabéns! Você completou o treinamento de iniciante\Muitas desafios estão à frente. Comece uma nova aventura agora.
328,Nome:
329,Tarefa atual: #cfa7a0faprender as operações básicas.\n
330,Tarefa atual: Corte árvores para obter #cfa7a0fmadeira.\n
331,Tarefa atual: Faça uma #cfa7a0fcaixa de ferramentas\n
332,Tarefa atual: Faça uma #cfa7a0fcaixa de ferramentas\n
333,Tarefa atual: Comer #cfa7a0fpão\n
334,Tarefa atual: Derrotar um #cfa7a0fmonstro.\n
335,Este mapa tem atualização. Faça o download da versão mais recente.
336,@Null@
337,@Null@
338,@Null@
339,Manutenção do Sistema! Não é possível compartilhar mapas temporariamente
340,Não há jogadores suficientes para iniciar o jogo.
341,@Null@
342,O nível do jardim não chegou a 2. Compartilhamento de mapas é visível apenas para você.
343,Conta criada com menos de 7 dias. Compartilhamento de mapas é visível apenas para você.
344,O mapa só é visível para você. Não pode ser compartilhado
345,Autor não abriu a permissão de download e não pode fazer o download
346,@Null@
347,@Null@
348,@Null@
349,Facebook
350,Atividade
351,Nome
352,Autor
353,Login não sucedido - parte das funções não estão funcionando.
354,"Atualizando, por favor aguarde"
355,@Null@
356,@Null@
357,A troca de plataformas não está autorizada.
358,Os símbolos do nome não são compatíveis.
359,UID:
360,Tempo atual:
361,Versão atual:
362,Grátis
363,(Amadurecer)
364,(Obter 1)
365,(Obter 10!)
366,Você já está no jardim do amigo!
367,@Null@
368,Invocação da Montaria
369,Recompensa Recebida
370,Abrir novamente
371,Abrir 10 vezes
372,Mini feijões
373,Experiência
374,Habilidades
375,Efeitos
376,Quantidade insuficiente. Você pode obter através do Jardim das Frutas.
377,Quantidade insuficiente. Você pode obter através do Jardim das Frutas.
378,Crie receitas na caixa de ferramentas
379,Materiais de
380,Progresso desbloqueio
381,Confirmar
382,Ainda não chegou na hora de obter filhote de montaria
383,Fogos de artifício (#c1b9e1eMini Feijões#n grátis)
384,Seu amigo não adotou uma planta. Tente outros.
385,Mini Feijão insuficiente
386,"O servidor está ocupado, por favor reinicie o jogo e tente novamente."
387,Reciclar tudo
388,Reciclar 1
389,Desbloqueado
390,Este item ainda não está desbloqueado
391,Você não pode convocar um Montaria Principal aqui!
392,Obteve a Montaria Principal com sucesso
393,Regado com sucesso. EXP obtido*@1 e Mini Feijões *@2
394,Insetos capturados com sucesso. EXP obtido*@1 e Mini feijões *@2
395,Jardim
396,Buscar
397,"Por favor, vá para os arquivos e toque no botão Montaria à direita da tela para usá-lo"
398,Sua planta está melhor agora.
399,Toque para verificar as regras do Jardim das Frutas.
400,Mini Feijões:
401,Frutas:
402,Regar:
403,Você apenas receberá bônus somente quando você semear a planta pela 1º vez!
404,Insetos capturados com sucesso. EXP obtido*@1 e Mini Feijões *@2
405,Aguarde os frutos amadurecerem naturalmente ou cultivá-los com Mini feijões. Frutos maduros lhe concederão fragmentos para desbloquear montarias/papéis/roupas e cubos.
406,Regar as plantas fará que cresçam mais rápido. Ajude os amigos a usar ervas daninhas e você terá a chance de ganhar Mini feijões e EXP.
407,Entendi
408,Fragmentos
409,Coleta de prêmios diários alcançou o limite.
410,Ferramenta inconveniente
411,O líder da sala colocou uma senha. O visitantes podem pedir pela permissão.
412,Acesso
413,Livre
414,Visitante
415,Pode danificar e colocar cubos\n(pode ser desativado no jogo)
416,Não pode danificar ou colocar cubos\n(pode ser ativado durante o jogo)
417,Coletar
418,Sobrevivência
419,Criação
420,Luta
421,Circuito
422,Quebra-cabeça
423,Parkour
424,Tamanho do mapa:
425,Downloads:
426,Sua versão é muito antiga. Por Favor atualizar
427,General
428,Tutorial
429,Pular
430,Continuar
431,Continuar o jogo
432,Ativar
433,Tentar novamente
434,Continuar baixando
435,Comprar
436,Ativar
437,Pontos
438,Prêmio de login
439,Pode inserir um código de terreno mundial
440,Comentado com sucesso!
441,"Defesa corpo a corpo: @1, reduz corpo a corpo e dano de explosão recebidos em @2%."
442,Indisponível
443,Não pode ser reaberto ao mesmo tempo
444,[Pontos de defesa serão afetados pelo taxa de durabilidade atual]
445,[Dano físico inclui corpo a corpo/à distância/explosão]
446,Você tem certeza que deseja expulsar #c0aaa1a@1#n da sala?
447,Expulsar?
448,Falhou ao expulsar!
449,Ressuscitará em #cffda0a@1#ns
450,Mostrar estatísticas
451,O host proíbe este item
452,Trocou estrelas som sucesso
453,Moedas insuficientes. Comprar @2 Mini Moedas com $@1?
454,US$
455,Mini Moedas
456,Moedas insuficientes
457,US$
458,"Comprou com sucesso. Por favor, verifique os fogos de artifício dos sorrisos e os Mini-Feijões no seu pacote."
459,Possui:
460,Confirmar
461,Explorar o desconhecido
462,Crie o que você quiser
463,Avançadas
464,"Oh, a Terra das Aventuras é sempre um pouco perigoso."
465,Criaturas desconhecidas
466,Você ainda precisa de #c0aaa1a@1 estrelas#n. Você deseja gastar #cfa7a0f@2 mini moedas#n para completar?
467,Usar
468,para compensar?
469,Estrelas Insuficientes
470,Ressuscitar
471,Retornar ao ponto de nascimento
472,Continuar
473,Ressuscitar no ponto inicial\n sem perder os itens.
474,Colocar Itens
475,Itens primários
476,Itens secundários
477,Fusão
478,Esta fusão irá elevar esta propriedade para Nv. @1
479,Nível
480,Mais de 5 atributos. Toque em Encantar para selecionar
481,Este atributo possui conflito com outros.
482,Selecionar
483,Atributos
484,@1 atributos poderão ser mantidos após a fusão. Por Favor selecione:
485,atributos. Por Favor selecione:
486,Por Favor selecione todos @1 atributos.
487,Obteve @1 @2
488,@Null@
489,Coloque os itens para iniciar a auto-fusão.
490,Por Favor retire os itens fundidos primeiro.
491,Parabéns! Você completou o treino de iniciante.
492,Receber
493,Novo
494,Nível mais alto
495,Não pode fazer mais de 10 sorteios consecutivos sem uma fruta dourada.
496,Mundo Central
497,Monumento do Dragão
498,Cancelar Favorito
499,Adicionado aos favoritos com sucesso
500,Expulsou @1 da sala com sucesso.
501,Expulsar da sala
502,vezes
503,Pode ser atualizado
504,Você já fez download deste arquivo
505,Inserir o UID dele(a)
506,Não foi possível conectar com o servidor da sala.
507,(Clique com o botão direito do mouse para abrir a lista. Você pode excluir arquivos)
508,Baixando:
509,À espera para baixar:
510,Download pausado:
511,Último login:
512,Nunca fez login
513,Ontem
514,dias atrás
515,Carreg. Arquivo foi cancelado
516,Logado
517,Inserir notas no mapa
518,Exploração do Mundo
519,Mundo da Criação
520,Individual
521,Parar de seguir
522,Mapas compartilhados
523,Compartilhe o mapa para obter
524,Padrão
525,Esta conta não existe
526,Esta conta está congelada
527,Nome da conta repetida
528,Versão nº
529,Tempo de Criação
530,Tempo de Criação
531,Tempo:
532,Coordenadas
533,Altitude
534,Recarregando agora
535,Adquirir
536,(Adquiriu o suficiente)
537,(Esgotado)
538,Vender
539,Trocar
540,"Mercadorias obtidas, favor atualizar."
541,"Mercadorias esgotadas, por favor atualizar."
542,Sucesso
543,Trocar
544,Você não possui itens suficientes para troca
545,Comprado com sucesso
546,"Todos os itens foram atualizados, por favor selecionar"
547,Atualizar
548,Consumir
549,Plateleira
550,Precisa de
551,Rastreamento de tarefas
552,@1 reparado com sucesso!
553,Por Favor coloque nos itens a serem reparados
554,Por Favor coloque nos materiais a serem reparados
555,Estrelas insuficientes
556,Sem reparação necessária
557,Durabilidade:
558,hora(s)
559,seg(s)
560,Cooldown dos ovos
561,Sua montaria está dormindo. Aguarde @1 seg(s) para invocar.
562,@Null@
563,Você não possui arquivos. Você não pode criar uma sala.
564,Você não adicionou as salas para seus Favoritos
565,Limite alcançado. Por Favor atualizar
566,A sala está cheia.
567,Senha Incorreta
568,Esta sala foi fechada pelo líder
569,Não há salas
570,Rede atual
571,Última versão
572,Versão de cliente incompatível com a sala
573,Falha ao conectar com a sala
574,Inserir UID do líder da sala
575,Toque para criar uma sala
576,Não há salas no momento.
577,Resultados de busca
578,Mais salas
579,Selecione um arquivo primeiro
580,Toque para fazer check-in
581,Senha da sala
582,Por Favor insira a senha da sala
583,Falha ao criar personagem. Por Favor verifique a rede.
584,Básicos
585,Controle
586,Avançado
587,Básico
588,Controles
589,Avançado
590,Nome
591,Brilho
592,Esconder interface
593,Modo de Paz
594,Música
595,Som
596,Volume
597,Sensibilidade
598,Y Axis (Inv.)
599,Modo canhoto
600,Mira
601,Pulo (Auto)
602,Vibração
603,Mais jogos
604,Recarregado com sucesso
605,Mais #c0aaa1a@2×@3 para esta @1 montaria. Você pode usar #cfa7a0fMini Feijões#n para completar
606,Esta montaria ainda requer
607,Você também pode usar
608,para compensar
609,Fragmentos insuficientes
610,Comprar moedas?
611,Permanente
612,Oferta limitada: #cfa7a0f@1#n dias #cfa7a0f@2#n horas #cfa7a0f@3#n minutos restantes
613,Falha ao comprar. Por Favor verifique a rede.
614,Cancelar Uso
615,@1 usados com sucesso
616,Habilidades
617,Habilidade de atualização
618,Ativar habilidade
619,Elevar talento
620,Usado
621,Outro #c0aaa1a @1×@2#n é necessário para ativar esta habilidade. Você pode gastar #cfa7a0f@2 Mini moedas#n para completar.
622,Outro #c0aaa1a @1×@2#n é necessário para elevar este presente. Você pode gastar #cfa7a0f@2 Mini moedas#n para completar.
623,Precisar
624,Tempo-limitado: #cfa7a0f@1#n dias #cfa7a0f@2#nhoras #cfa7a0f@3#n minutos restantes
625,Outro #c0aaa1a @1×@2#n é necessário para ativar esta habilidade. Você pode gastar #cfa7a0f@2 Mini moedas#n para completar.
626,Desconto
627,Comprado com sucesso
628,Tem certeza que deseja retirar #cfa7a0f一个@1#n para sua mochila?
629,@Null@
630,Parabéns! Você desbloqueou @1
631,Não foi possível recarregar devido à problemas de rede.
632,Desbloquear a nova montaria:
633,Elevação de montaria:
634,(Permanente)
635,A moda @1 poderá ser usada por mais @2 dias!
636,@Null@
637,Ativado
638,Desbloquear
639,Comprar agora
640,Colocar
641,Loja
642,Retirar
643,Tirar
644,Nome Padrão
645,Fragmentos insuficientes para desbloquear
646,Ver os detalhes na loja
647,Na mochila agora
648,Obteve conquista!
649,Obteve itens!
650,Obteve @2 @1
651,Moveu @1 @2
652,Descartou @2 @1
653,Prêmios de coleta
654,Feedback
655,Feedback
656,Por Favor insira aqui o seu comentário
657,@Null@
658,Celular:
659,(Insira seu QQ)
660,Insira seu número de celular)
661,Enviar
662,Nº de feedbacks diários chegou ao limite
663,Por Favor insira seus comentários antes de enviar
664,Comentário enviado com sucesso!
665,Muitos jogadores enviando comentários agora. Por Favor tente mais tarde.
666,(Bloqueado)
667,Passar por:
668,Recuperar
669,Recuperar
670,Precisa de mais #c0aaa1a@1×@2#n para desbloquear este prêmio. Você pode usar #cfa7a0f@3#n para completar
671,Prêmios recebidos com sucesso.
672,Customizar Regras
673,Personalizar
674,em seu Mapa
675,Criar config do mapa
676,Padrão
677,Comprimento
678,Tamanho: (1 bloco=16 cubos)
679,Largura
680,Ilimitado
681,Terreno
682,Padrão
683,Plano
684,Ilha
685,Criar um mapa
686,Relevo:
687,Grama
688,Deserto
689,Floresta
690,Campo de gelo
691,Oceano
692,Penhasco
693,Floresta de pinheiros
694,Selva
695,Monstros:
696,Animais
697,Monstros
698,Este relevo é incompatível com este terreno
699,Por Favor inserir números
700,#cfa7a0fO líder da sala expluso#n@1#cfa7a0f para fora do quarto#n
701,#cfa7a0f foi expulso da sala #n
702,Você não possui @ItemName suficientes
703,Itens de reposição insuficientes necessários
704,Crie sua própria jogabilidade
705,Configurações básicas
706,Restaurar\nPadrão
707,Confirmar salvamento
708,Horário
709,Falha ao pagar!
710,Insira valores númericos
711,Equipe
712,Pontos
713,Equipe Vermelha
714,Equipe Azul
715,Equipe Verde
716,Equipe Roxa
717,Equipe Amarela
718,Equipe Laranja
719,Mudar o mapa de jogo
720,Mapa de Edição
721,"A recarga falhou, por favor escolha outro método para recarregar"
722,"Recarregando, por favor aguarde"
723,Ajuda
724,"Verifique sua rede e saldo e tente novamente. Se você já pagou, clique no botão de tentar novamente mais algumas vezes"
725,Por Favor atualizar para a última versão.
726,"Caso você tenha problemas com a compra, favor contate-nos por um dos meios abaixo: 
 1. Clique no botão de Feedback no canto superior direito da tela.
 2. Facebook:
 https://www.facebook.com/mini.wan.94
 3. Twitter
 https://twitter.com/miniwantech
 Nota: Favor nos forneça o seu UID e screenshots para podermos localizar o problema.
 Obrigado!"
727,"Falha ao recarregar. Favor verifique sua rede, caso já tenha efetuado o pagamento, favor clique no botão de tentar novamente."
728,Fragmentos possuídos
729,Jogadores insuficientes. Iniciar jogo agora
730,Pântano
731,Compartilhe para ter Mini-Feijões
732,Como obter Mini Feijões!
733,1. Compartilhe o seu link dedicado\n2. Você receberá 20 Mini-Feijões quando outros clicarem em seu link\n3. Você poderá receber Mini-Feijões 5 vezes por dia e 20 vezes por semana.
734,Disponível agora:
735,Esta semana:
736,Copiar o Link:
737,Prêmios recebidos!
738,Meu link dedicado:
739,Copiado para o mural!
740,Escolher uma topografia no mínimo
741,Preparando
742,Baú de suprimentos inciais
743,Baú de Suprimentos de ressurreição
744,Baú de suprimentos iniciais: Itens armazenados são aqueles que poderão ser levados pelo jogador.
745,Baú de suprimentos de ressurreição: itens armazenados são aqueles que o jogador poderá levar após a ressurreição.
746,Criação
747,Modo de jogo
748,Sem equipe
749,Fim de Jogo
750,Ajustes recomendados
751,Config pré-definidos poderão ajudá-lo a estabelecer as regras mais rapidamente.
752,Recomendações de Parkour
753,Recomendações de luta
754,Padrão
755,`s Mapa
756,Qtd. de prêmios alcançou o limite hoje
757,Qtd. de prêmios alcançou o limite esta semana
758,Recebido com sucesso
759,Dados incorretos
760,Você ainda não tem um UID
761,"Falha ao conectar, por favor abra a página novamente."
762,Este UID foi banido
763,Info
764,Comentários
765,Toque ou puxe para cima para ver mais comentários
766,Sem comentários
767,Escreva a sua experiência e sensações neste mapa para ajudar o autor a melhorá-la. (110 caracteres no máx.)
768,Falha ao comentar. Por Favor tente novamente.
769,Sem comentários
770,Não há mais comentários
771,Por Favor checar a rede e tente novamente
772,Comentários apagados com sucesso!
773,Falha ao apagar.
774,(Necessita de configurações mais altas)
