id,泰语
41,เพิ่มเพื่อนไม่สำเร็จ โปรดลองใหม่ในภายหลัง
42,ลบเพื่อนคนนี้สำเร็จ
43,ดาวน์โหลดไฟล์แมพจากในเกมไม่ได้ โปรดกลับไปลองในหน้าหลัก
44,ยังไม่พบเพื่อนที่อยู่ใกล้ๆ โปรดค้นหาในภายหลัง
45,ชื่อตัวละครที่ตั้งต้องเป็นตัวเลขหรือภาษาอังกฤษ
46,ชื่อนี้มีคนใช้อยู่แล้ว(คลิกที่ตัวอักษรเพื่อแก้ไข)
47,สเป็คสูง
48,สเป็คกลาง
49,สเป็คต่ำ
50,มุมมองหลัง
51,มุมมองหน้า
52,มุมมองหลัก
53,ทัศนวิสัย(ไกล)
54,ทัศนวิสัย(กลาง)
55,ทัศนวิสัย(ใกล้)
56,หีบเก็บของเต็มแล้ว
57,คะแนนภารกิจบัญชี:
58,ไม่มี
59,-ผจญภัย
60,-สร้างสรรค์
61,ขาด@1
62,คราฟต์@1×@2
63,ลบเพื่อน
64,@1เป็นเพื่อนของคุณ
65,ออกจากหน้าร่ายมนตร์แล้ว
66,ดาวที่ใช้ร่ายมนตร์มีไม่พอ
67,ยังไม่มีสถานะร่ายมนตร์
68,สุ่มมอบสถานะร่ายมนตร์
69,ไอเทมนี้ถูกร่ายมนตร์แล้ว
70,หลังรวม ไอเทมรองจะหายไป
71,โปรดวางไอเทมรอง
72,โปรดเลือกไอเทมร่ายมนตร์
73,ดาว
74,MCoin
75,ร่ายมนตร์ได้:
76,ไอเทมหลักที่ใช้ได้
77,ไอเทมรองที่ใช้ได้
78,ไม่มีลักษณะที่เหมาะสม
79,@1ร่ายมนตร์สำเร็จ!
80,โปรดวางไอเทมที่ต้องการร่ายมนตร์
81,วางในเป้จากหน้าร่ายมนตร์แล้ว
82,เอาชีวิตรอดในป่า สะสมทรัพยากร ผจญภัยในโลกของคุณ
83,เมื่อมีทรัพยากรต่างๆ ก็จะสร้างสิ่งที่ต้องการได้
84,สร้างไฟล์ใหม่\n เริ่มผจญภัยได้เลย
85,คุณยังไม่มีไฟล์ใหม่ รีบไป#cfa7a0fสร้าง#nก่อนสิ
86,ที่นี่มีแมพมากมายให้#cfa7a0fดาวน์โหลด#n
87,หากเข้าสู่เกมครั้งแรก โปรดเข้าเกมไกด์ เรียนรู้วิธีการเล่นพื้นฐานก่อน
88,เลือกตัวละครในฉาก\n สร้างตัวละครของคุณ
89,โปรดเลือกตัวละคร
90,ยังเรียนเกมไกด์ไม่จบ ต้องการทำต่อไหม?
91,หากคุณเข้าสู่มินิเวิล์ดเป็นครั้งแรก เราขอแนะนำให้คุณเข้า#c0aaa1aแมพเกมไกด์#n
92,แมพเกมไกด์
93,มาถึง:โลกแกนโลกแล้ว
94,มาถึง:พื้นผิวโลกแล้ว
95,คุณแพ้การต่อสู้กับ@otherแล้ว
96,ขาของ@selfเป็นตะคริวในขณะว่ายน้ำ
97,@selfอยู่ห่างจากวัตถุที่มีอุณหภูมิสูง
98,@selfกระโดดลงมาจากอากาศสูง
99,คุณต้องมีชุดนักบิน
100,ระวังกระบองเพชร!
101,โชคดีแบบนี้ เหมาะแก่การซื้อหวยจริงๆ
102,หากถูกพิษ โปรดดื่มนมสด!
103,@selfเหี่ยวอย่างกับดอกไม้
104,เข้าโหมดวิ่งแล้ว
105,เข้าโหมดย่องเดินแล้ว
106,รีบมาผจญภัยในห้องของฉันสิ!ฉันกับเพื่อนๆรออยู่นะ
107,ห้องผจญภัยนี้เยี่ยมจริงๆ เล่นจนไม่อยากหยุดเลย
108,ใครจะมาเล่นในห้องผจญภัยของฉันนะ?
109,ถ้าเป็นพี่น้องกันจริงก็เข้าห้องผจญภัยของฉันสิ!
110,ใครก็ได้ช่วยฉันขุดแร่ที่ห้องผจญภัยที!
111,รีบเข้าห้องสร้างสรรค์ของฉันสิ!สนุกมากๆเลยนะ
112,มาปาร์ตี้กันที่ห้องสร้างสรรค์ของฉันสิ!
113,ยินดีต้อนรับสู่ห้องสร้างสรรค์ของฉันจ้า
114,ห้องสร้างสรรค์ของฉันรออยู่นานแล้วนะ!
115,ห้องสร้างสรรค์ฉันมีบ้านหลังใหญ่ มาดูสิ!
116,พระจันทร์เต็มดวงแล้ว ช่างเป็นคืนที่พิเศษจริงๆ..
117,พระจันทร์หายไปแล้ว ช่างเป็นคืนที่มืดมิดจริงๆ..
118,ที่นี่มีสินค้ามากมาย คุณต้องการอะไร หรือคุณไปหาพี่น้องของฉันที่ทะเลทรายและทุ่งหิมะก็ได้นะ
119,ฉันเติบโตอยู่ในทะเลทราย แต่ฉันอยากได้สินค้ามากกว่านี้เพื่อทำให้มันเป็นโอเอซิส!
120,ทุ่งหิมะหนาวมากๆ ฉันต้องการสินค้าจำนวนมาก คุณจะหาให้ฉันได้ไหม?
121,มีคำไม่เหมาะสม โปรดป้อนใหม่
122,หีบเก็บของของเจ้าของห้อง คุณไม่สามารถเปิดได้
123,โปรดป้อนชื่อใหม่เพื่อแก้ไข
124,ต้องใช้
125,แก้ไขชื่อในไฟล์ไม่ได้
126,ยินดีด้วย คุณแก้ไขชื่อเป็น
127,แก้ไขชื่อไม่สำเร็จ โปรดตรวจสอบอินเทอร์เน็ต
128,ไอเทมที่ซื้อจะเก็บไว้ในโกดังมุมล่างซ้าย
129,คลิกไอเทมที่อยู่ในไฟล์ไปยังเป้ได้
130,เจ้าของห้องเท่านั้นที่เบิกไอเทมประเภทนี้ไปใช้ได้
131,ซื้อสำเร็จ โปรดเช็คในโกดังมุมล่างซ้าย
132,เบิกของสำเร็จ โปรดเช็คในเป้
133,สกอร์ฮาร์ดคอร์:
134,เจ้าของห้องอาจไม่ชอบคุณ จึงเชิญคุณออกจากห้องแล้ว
135,เน็ตของเจ้าของห้องไม่เสถียร การเชื่อมต่อจึงถูกตัดขาด
136,ตอนนี้เจ้าของห้องคงไม่ว่าง ห้องจึงถูกปิด
137,เข้าไม่ได้เพราะดาวน์โหลดแมพล้มเหลวหรือชำรุด(ควรสำรองการแชร์ไว้ก่อน)
138,LVแอคทีฟ:
139,เปิดผลงาน:
140,ข้อมูล
141,ภาพโปรไฟล์
142,ใช้
143,ปลดล็อค
144,ใส่ UID ผู้สร้าง
145,ป้อนUID
146,อินเทอร์เน็ตไม่เสถียร โปรดตรวจเช็คอินเทอร์เน็ต
147,เลือกประเภท
148,ปกติ
149,ดีมาก
150,ยอดเยี่ยม
151,เจ้าของห้องที่คุณติดตามยังไม่เปิดห้อง..
152,ขออภัย กรุณารีเฟรชตารางแมพ และลองใหม่อีกครั้ง
153,ชื่อ
154,จำนวนคน
155,ประเภท
156,คำอธิบาย
157,อัปเดตทันที
158,เวอร์ชั่นเกมต่ำเกินไป โปรดอัปเดตก่อน
159,เนื่องจากยังไม่ได้แชร์ไฟล์แมพนี้ จึงฟื้นฟูการดาวน์โหลดไม่ได้
160,ต้องการดาวน์โหลดไฟล์นี้ใหม่ จะเริ่มดาวน์โหลดหรือไม่
161,หยุดอัปโหลด-ดาวน์โหลดเพราะอินเทอร์เน็ตไม่เสถียร โปรดตรวจเช็คอินเทอร์เน็ต
162,ไม่ได้ติดตามแมพ รีบไปดูที่เพื่อนๆแชร์ก่อนสิ
163,โปรดรอสักครู่และอย่าออกจากเกม ขณะเข้าสู่เกมจะเปลี่ยนข้อมูลไฟล์ ซึ่งอาจต้องใช้เวลาเล็กน้อย
164,ห้องที่เข้าครั้งที่แล้ว
165,คุณแอบแก้ไข ผลที่ตามมาอาจจะร้ายแรงนะ
166,หัวข้อ
167,แท็บ
168,ประเภท
169,แนะนำ
170,สาธารณะ
171,ส่วนตัว
172,การแนะนำแมพที่น่าสนใจจะดึงดูดเพื่อนๆให้ดาวน์โหลดได้นะ\n (ป้อนได้ 60 ตัวอักษร)
173,อัปเดตการแชร์
174,ฉันติดตาม
175,โปรดป้อนIDผู้สร้าง
176,ฉันแชร์
177,กลับ
178,เขาคนนี้ขี้เกียจมาก ไม่ทิ้งข้อความอะไรไว้เลย~
179,หากคุณชอบแมพนี้ก็ให้คะแนนหน่อยสิ!
180,ยืนยัน
181,เว้นว่างชื่อไฟล์ไม่ได้
182,ความสามารถสัตว์ขี่
183,ระยะเวลาฟัก
184,หน้าปกไฟล์
185,รับ
186,ใช้
187,อัพเกรด
188,คุณไม่มีไฟล์ที่แชร์
189,ผู้เล่นนี้ไม่มีแมพที่แชร์
190,เรียงอัตโนมัติ
191,แนะนำ
192,คะแนน
193,ฮิตในสัปดาห์นี้
194,ใหม่
195,อันดับ
196,เติบโต
197,สุกทันที
198,เก็บเกี่ยว
199,ผู้ที่มารดน้ำ-กำจัดแมลง:
200,พืชอยู่ในสถานะ#c0aba1dชุ่มชื้น#n
201,พืชอยู่ในสถานะ#cffda0aขาดน้ำ#n
202,พืชอยู่ในสถานะ#cff3d2bเหี่ยว#n
203,อาจได้รับ:
204,นับถอยหลัง：
205,(สุกทันที)
206,เติบโต
207,ดูสวนของเพื่อน
208,บอร์ดสกอร์
209,เพื่อน
210,แฟนคลับ
211,รูปโปรไฟล์
212,ชื่อ
213,ชนะ
214,เพิ่มเพื่อน
215,สัตว์ขี่
216,(ตัวอย่าง)
217,รอคืนชีพ
218,ขณะสลับIDโปรด:#r1.อัปโหลดไฟล์ที่สำคัญเพื่อป้องกันการหายไป#r2.หากเจอข้อความรหัสผ่านไม่ถูกต้องขณะเล่นเกมลองแก้ไขด้วยการสลับการล็อกอินได้
219,ห้องปิดแล้ว เพราะอินเทอร์เน็ตไม่เสถียร
220,ปิดห้องและเชิญผู้เล่นทั้งหมดออก
221,ออกจากห้องและเชิญผู้เล่นทั้งหมดออก
222,เริ่มเกม: 3
223,เริ่มเกม: 2
224,เริ่มเกม: 1
225,เริ่ม!
226,ทราบแล้ว
227,ฟื้นฟูค่าตั้งต้น
228,ประกาศ
229,@selfโจมตี@otherอย่างแรง!
230,การโจมตีของ@selfโดน@otherแล้ว!
231,@selfส่ง@otherกลับไปจุดคืนชีพด้วยความเป็น มิตร!
232,@selfตีสองครั้งต่อเนื่อง!
233,@selfตีสามครั้งต่อเนื่อง!
234,@selfเข้มแข็งมากๆ!
235,สู้@selfไม่ได้แล้ว!
236,@selfเป็นผู้ชนะการแข่งขันครั้งนี้!
237,@selfเริ่มก้าวสู่ทางเป็นเทพแล้ว!
238,@selfบ้าคลั่งไปแล้ว ใครไปขวางเขาที
239,@selfเหมือนเป็นเทพแล้วจริงๆ
240,@selfนอกเหนือจากเทพแล้ว ขอให้มีคนไปหยุดเขาที
241,อัปเดตเวอร์ชั่น
242,ไม่มีประกาศ!!
243,@selfหยุดการโจมตีสามครั้งต่อเนื่องของ@otherแล้ว!
244,@selfทำลายสถิติความเฉียบแหลมของ@otherแล้ว!
245,@selfสิ้นสุดความพ่ายแพ้ของ@other!
246,@selfสิ้นสุดบงการการแข่งขันของ@otherแล้ว!
247,@selfทำลายสถิติการเดินทางสู่ที่เป็นเทพของ@otherแล้ว!
248,@selfทำลายสถิติความบ้าคลั่งของ@otherแล้ว!
249,@selfสิ้นสุดความเสมือนเทพของ@otherแล้ว!
250,@selfทำลายสถิติการเหนือกว่าเทพของ@otherแล้ว!
251,สัตว์ขี่ที่เรียกนี้ สามารถออกลูกได้แล้ว!
252,หลัง@numวัน(เวลาในเกม)จึงจะฟักออกมาเป็นลูกสัตว์ขี่ได้
253,นั่งในสถานะนี้ไม่ได้
254,อยู่ไกลเกินไป จึงนั่งไม่ได้
255,พ่อค้าพเนจร
256,(อัปเดตสินค้าแล้ว)
257,ยินดีต้อนรับ มีอะไรให้ช่วยหรือไม่?\nทำเวลาหน่อยนะ ถ้าพลาดต้องรอครั้งหน้าแทน!
258,จากไป
259,เหลือ:
260,หมด
261,พ่อค้าพเนจร
262,พ่อค้าพเนจรจากไปแล้ว
263,ภาพวาด
264,โอ้ โอ้ โอ้ คุณอยากได้อะไรหรือ
265,@Null@
266,เติมเงินล้มเหลว โปรดลองใหม่ในภายหลัง
267,เวอร์ชันอัปเดตที่ต่ำเกินไป
268,ชิ้นส่วนได้จากกิจกรรมและการเปิดผลไม้ในสวน ใช้ได้หลังปลดล็อคการ์ดในหน้าหลัก-สวนของฉัน 
269,ที่ว่างไม่พอต่อการบันทึกไฟล์ โปรดเคลียร์พื้นที่
270,ชนะ
271,พยายามต่อเนื่อง
272,เสมอ
273,เปิดใช้กิ๊ฟโค้ด
274,กิ๊ฟโค้ด
275,เปิดใช้งาน
276,หมายเหตุ:หลังเปิดใช้งาน โปรดไปยังร้านค้า
277,เช็ครางวัลใน
278,โกดังของร้านค้า
279,โปรดใส่กิ๊ฟโค้ดเพื่อรับรางวัล
280,@Null@
281,โปรดป้อนกิ๊ฟโค้ด!
282,อินเทอร์เน็ตไม่เสถียร โปรดตรวจเช็คอินเทอร์เน็ต
283,กิ๊ฟโค้ดถูกใช้แล้ว จึงรับอีกไม่ได้
284,กิ๊ฟโค้ดที่คุณป้อนไม่ถูกต้อง
285,ยินดีด้วย คุณเปิดกิ๊ฟแล้ว
286,อินเทอร์เน็ตไม่เสถียร/แพลตฟอร์มไม่ถูกต้อง/รับกิ๊ฟประเภทเดียวกันแล้ว
287,กดค้าง
288,คลิกที่พื้นเพื่อวางหีบเครื่องมือ!
289,ไฟล์ของฉัน
290,ออนไลน์
291,ทั่วไป
292,สิ่งก่อสร้าง
293,เครื่องจักร
294,เป้
295,เครื่องมือ
296,พืช
297,จิปาถะ
298,บล็อก
299,แก้ไข
300,ขาด#cfa7a0fแผ่นไม้#n สะสมไม้ไปคราฟต์แผ่นไม้
301,เลือกไอคอน#cfa7a0fหีบเครื่องมือ#nก่อน แล้วกดปุ่ม#cfa7a0fคราฟต์#nฝั่งขวา
302,ขาดวัสดุคราฟต์#cfa7a0fอีเตอร์ไม้#n ต้องไปตัดไม้เพื่อให้มี#cfa7a0fไม้#nก่อนนะ
303,เลือก#cfa7a0fอีเตอร์ไม้#nแล้วกดปุ่ม#cfa7a0fคราฟต์#nฝั่งขวา
304,ยินดีต้อนรับสู่มินิเวิล์ด มา#cfa7a0fเรียนรู้วิธีเล่น#nกันก่อนนะ #cfa7a0fสัมผัส#nหน้าจอ
305,#cfa7a0fสไลด์หน้าจอ#nไปซ้ายขวา เพื่อหมุนมุมมอง หันไปด้านหน้า
306,#cfa7a0fใช้#nจอยสติ๊ก#cfa7a0fเคลื่อนไหว#nไปข้างหน้า
307,#cfa7a0fกดบล็อกค้างไว้#n(ที่ลูกศรชี้)จน#cfa7a0fทำลายบล็อก#nได้
308,ดีมาก ทำลายและเก็บบล็อกทั้งหมดได้แล้ว โปรด#cfa7a0fรับ#nรางวัล
309,ค้นหาต้นไม้ตามลูกศร #cfa7a0fกดต้นไม้#nค้างไว้(บริเวณที่นิ้วชี้)เพื่อรับ#cfa7a0fไม้#n
310,เยี่ยมมาก หากใช้ขวานฟันต้นไม้ จะ#cfa7a0fได้ไม้#nเร็วขึ้น
311,เปิด#cfa7a0fเป้#n แล้วใช้#cfa7a0fแผ่นไม้#nคราฟต์#cfa7a0fหีบเครื่องมือ#nกัน
312,คลิกแท็บ#cfa7a0fคราฟต์#n
313,#cfa7a0fหีบเครื่องมือ#nคราฟต์ไอเทมขั้นสูงที่ใช้ดำรงชีวิต ท่องเที่ยว ผจญภัยได้มากมาย
314,วาง#cfa7a0fหีบเครื่องมือ#nที่เพิ่งคราฟต์ไว้ที่#cfa7a0fแถบไอเทม#nและเลือก
315,คลิกที่พื้นและวาง#cfa7a0fหีบเครื่องมือ#n
316,#cfa7a0fคลิก#nเปิดหีบเครื่องมือ(บริเวณที่นิ้วชี้)
317,คราฟต์ไอเทมสำเร็จ ถ้าใช้#cfa7a0fอีเตอร์ไม้#n ก็จะขุดแร่ขั้นต้นได้
318,คลิก#cfa7a0fขนมปังข้าวสาลี#n(วางไว้ที่แถบไอเทมลัด)จะปรากฏ#cfa7a0fปุ่มใช้#n
319,#cfa7a0fกดปุ่มใช้#nฝั่งขวา#cfa7a0fค้างไว้#nเพื่อกินขนมปัง
320,ต้องเลือกไอเทมที่จะใช้ในแถบไอเทมลัด จึงจะมี#cfa7a0fปุ่มใช้#nปรากฏ
321,ใส่หมวกที่เพิ่งได้#cfa7a0fหมวก#nอุปกรณ์ต้องเปิดเป้ก่อนนะ
322,คลิก#cfa7a0fอุปกรณ์ตัวละคร#nแท็บ
323,คลิกอุปกรณ์#cfa7a0fหมวก#n
324,คำบรรยายและลักษณะ#cfa7a0fหมวก#nปรากฏ กดปุ่ม#cfa7a0fอุปกรณ์#n
325,เยี่ยมมาก ง่ายมากใช่ไหม งั้นไปต่อย#cfa7a0fมอน#nกันเลย คลิกที่มุมบนซ้าย#cfa7a0f×#nnปิดอินเตอร์เฟซ
326,ระวัง มอนเดินเข้ามาแล้ว #cfa7a0fสไลด์หน้าจอ#nซ้ายขวา หันหน้าเข้าหาคนป่า #cfa7a0fคลิก#nโจมตีมอน
327,ยินดีด้วย คุณเรียนเกมไกด์เสร็จสิ้นแล้ว\nยังมีความสนุกมากมายรอยู่ ไปผจญภัยกันเลย
328,ชื่อแมพ:
329,เควสขณะนี้:#cfa7a0fเรียนรู้วิธีเล่น#n
330,เควสขณะนี้:ตัดต้นไม้ รับ#cfa7a0fไม้#n
331,เควสขณะนี้:คราฟต์#cfa7a0fหีบเครื่องมือ#n
332,เควสขณะนี้:คราฟต์#cfa7a0fอีเตอร์ไม้#n
333,เควสขณะนี้:กิน#cfa7a0fขนมปังโฮลวีต#n
334,เควสขณะนี้:ชนะ#cfa7a0fมอน#n
335,แมพปัจจุบันมีการอัพเดต โปรดดาวน์โหลดเวอร์ชั่นล่าสุด
336,@Null@
337,@Null@
338,@Null@
339,กำลังบำรุงรักษาระบบ ขณะนี้ไม่สามารถแชร์แมพได้
340,จำนวนคนไม่พอ จึงเริ่มเกมไม่ได้
341,@Null@
342,เลเวลของสวนไม่ถึงเวล 2 เมื่อแชร์แมพ เลือกแชร์แบบส่วนตัวได้เท่านั้น
343,การสมัครเลขไอดีไม่ถึง 7 วัน เมื่อแชร์แมพ เลือกแชร์แบบส่วนตัวได้เท่านั้น
344,แมพนี้ปรากฏให้คุณมองเห็นเท่านั้น ไม่สามารถแชร์ได้
345,เจ้าของแมพนี้ยังไม่ได้เปิดสิทธิ์การดาวน์โหลด ไม่สามารถโหลดได้
346,@Null@
347,@Null@
348,@Null@
349,Facebook
350,แอคทีฟ
351,ชื่อ
352,ผู้สร้าง
353,ล็อกอินไม่สำเร็จ จึงใช้ฟังก์ชั่นบางส่วนไม่ได้
354,กำลังอัพเดท โปรดรอสักครู่
355,@Null@
356,@Null@
357,สลับข้ามแพลตฟอร์มไม่ได้
358,ชื่อมีสัญลักษณ์พิเศษไม่ได้
359,ID:
360,เวลาขณะนี้:
361,เวอร์ชั่นปัจจุบัน:
362,ฟรี
363,(สุก)
364,(เก็บ1ลูก)
365,(เก็บ10ลูก)
366,อยู่ในสวนของเพื่อนคนนี้แล้ว
367,@Null@
368,เรียกหาสัตว์ขี่
369,รางวัลได้เก็บในโกดังแล้ว
370,เปิดอีกครั้ง
371,เปิดอีก10ครั้ง
372,ถั่วมินิ
373,EXP
374,สกิล:
375,สกินนี้มีการเปลี่ยนแปลงพิเศษดังนี้:
376,จำนวนไม่พอ สามารถหาได้จากสวนผลไม้
377,จำนวนไม่พอ สามารถหาได้จากสวนผลไม้
378,วิธีคราฟต์
379,ชิ้นส่วนมาจาก:
380,คืบหน้า:
381,ยืนยัน
382,ยังไม่ถึงเวลารับลูกสัตว์ขี่
383,ซื้อพลุ (แถม#c1b9e1eถั่วมินิ#n)
384,เพื่อนคนนี้ยังไม่ได้รับพืชไปปลูก ลองไปหาเพื่อนคนอื่นดูนะ
385,ถั่วมินิไม่พอ โปรดไปซื้อก่อน
386,เซิร์ฟเวอร์ไม่ว่าง โปรดรีสตาร์ทเกมแล้วลองใหม่
387,รีไซเคิลทั้งหมด
388,รีไซเคิล1อัน
389,ปลดล็อคแล้ว
390,ชิ้นส่วนได้จากกิจกรรมและการเปิดผลไม้ในสวน ใช้ได้หลังปลดล็อคการ์ดในหน้าหลัก-สวนของฉัน 
391,ที่นี่ไม่เหมาะที่จะเกิดลูกสัตว์ขี่
392,รับลูกสัตว์ขี่สำเร็จ
393,รดน้ำสำเร็จ ได้รับEXPx@1 ถั่วมินิx@2
394,กำจัดแมลงสำเร็จ ได้รับEXPx@1 ถั่วมินิx@2
395,สวน
396,หลังเพิ่มเพื่อนจะดูสวนได้
397,โปรดไปกดปุ่มใช้สัตว์ขี่ฝั่งขวาในไฟล์
398,พืชของคุณอยู่ในสถานะที่ดีมาก
399,คลิกดูกติกาผลไม้ในสวน
400,ถั่วมินิ:
401,ผลไม้:
402,รดน้ำ:
403,หมายเหตุ:ผู้ที่เคยรับพืชไปปลูกจะรับรางวัลถั่วมินิอีกไม่ได้นะ~
404,ได้จากเซ็นชื่อเข้าเกม ช่วยเพื่อนรดน้ำ เมื่อผลไม้สุกจะมีโอกาสได้รับถั่วมินิ รับพืชไปปลูกครั้งแรกจะได้รับ#c0aaa1aถั่วมินิ*200#n
405,เมื่อผ่านไประยะหนึ่งผลไม้จะเติบโต สามารถใช้ถั่วมินิเพื่อเร่งการเติบโตได้ สามารถเก็บเกี่ยวเพื่อปลดล็อคชิ้นส่วนสัตว์ขี่ สกิน อวตาร และบล็อค
406,อย่าลืมเข้ามาดูแลสวน หากรดน้ำผลไม้บ่อยๆ จะเร่งผลไม้ให้สุกได้เร็ว ถ้าช่วยเพื่อนรดน้ำจะได้รับถั่วมินิ และค่าเติบโตด้วยนะ 
407,ทราบแล้ว
408,โชว์ชิ้นส่วน
409,วันนี้รับรางวัลอีกไม่ได้แล้ว
410,เครื่องมือไม่เหมาะมือ
411,เจ้าของห้องตั้งค่าให้ผู้เยี่ยมชมขอสิทธิ์จากเจ้าของห้อง
412,สิทธิ์
413,อิสระ
414,ผู้เยี่ยมชม
415,ทำลายและวางบล็อกได้\n (ระงับในเกมได้)
416,ทำลายและวางบล็อกไม่ได้\n (ปลดในเกมได้)
417,เก็บสะสม
418,ผจญภัย
419,สร้างสรรค์
420,ต่อสู้
421,วงจรไฟฟ้า
422,ไขปริศนา
423,ปากัวร์
424,ขนาดแมพ:
425,ดาวน์โหลด:
426,เวอร์ชั่นเกมของคุณต่ำเกินไป โปรดอัปเดตก่อน
427,ทั่วไป
428,ดูคู่มือ
429,ข้าม
430,ไปต่อ
431,เล่นเกมต่อ
432,ไปเปิดใช้งาน
433,ลองใหม่
434,ดาวน์โหลดต่อ
435,ไปซื้อ
436,เปิดใช้งาน
437,คะแนน
438,รางวัลเซ็นชื่อ
439,สามารถใส่รหัสภูมิประเทศโลกได้
440,ให้คะแนนสำเร็จ!
441,การปกป้อง(ใกล้):@1 ลดดาเมจ@2%จากการโจมตีระยะใกล้และระเบิดที่ได้รับ
442,ยังไม่มีโบนัสให้รับ
443,ไม่สามารถเปิดซํ้าในขณะเดียวกัน
444,[อัตราส่วนค่าความทนทานปัจจุบันมีผลต่อค่าDEF]
445,[P.DMGแบ่งเป็นระยะใกล้/ไกล/ระเบิด]
446,ยืนยันจะเชิญ#c0aaa1a@1#nออกจากห้องหรือไม่
447,เชิญออกจากห้องหรือไม่
448,เชิญออกไม่สำเร็จ
449,เกิดใหม่ใน #cffda0a@1#ns
450,โชว์สถานะ
451,เจ้าของห้องปิดใช้งานไอเทมนี้แล้ว
452,คุณแลกดาวสำเร็จ
453,คุณมีMcoinไม่พอ ต้องการใช้#c0aaa1a@1USD#nซื้อ#cfa7a0f@2Mcoinไหม#n
454,US$
455,Mcoin?
456,MCoinไม่พอ
457,US$
458,การซื้อสำเร็จ กรุณาตรวจสอบพลุรอยยิ้มและถั่วมินิในโกดัง
459,มี:
460,แลก
461,เอาชีวิตรอดในป่า ผจญภัยในโลกลี้ลับ
462,มีทรัพยากรไม่จำกัด สร้างได้ทุกอย่าง
463,สเป็คสูง
464,เอ่อ..การผจญภัยในป่ามักจะอันตรายหน่อยๆ..
465,สิ่งมีชีวิตปริศนา
466,คุณยังต้องใช้#c0aaa1aดาว×@1#n ต้องการใช้#cfa7a0fMCoin×@2#nแทนไหม?
467,ต้องการใช้
468,แทนไหม
469,ดาวไม่พอ:
