id,英文
284,The activation code entered is wrong
285,Congratulations! You have activated a gift bag
286,Unstable network/incorrect platform/same kind of gift bag gotten
287,Long-press
288,Tap the ground to place the toolbox!
289,My Maps
290,Online
291,Common
292,Construction
293,Machinery
294,Backpack
295,Tools
296,Crops
297,Sundries
298,Blocks
299,Edit
300,Not enough #cfa7a0fplanks#n. Collect some wood to make some planks
301,"Select the #cfa7a0fToolbox#n icon, and then tap the #cfa7a0fMake#n button in the right"
302,You don’t have enough materials to craft a #cfa7a0fwood pickaxe#n. Cut trees to gather more #cfa7a0fwood#n
303,"Select #cfa7a0fWood Pickaxe#n, and then tap the #cfa7a0fMake#n button in the right"
304,Welcome to MiniWorld. Let’s #cfa7a0fbegin our adventure#n first. #cfa7a0fTap#n the screen to start
305,#cfa7a0fSwipe the screen#n to the left or right to face the front
306,#cfa7a0fSwipe#n move the joystick icon to #cfa7a0fmove#n. Try walking forward
307,#cfa7a0fLong press the cube#n (follow the arrow)  to start #cfa7a0fbreaking the cube#n
308,Excellent. All blocks can be damaged and gathered. Tap to #cfa7a0fReceive#n rewards
309,Follow the arrow to find trees. #cfa7a0fLong press#n tree Blocks (Finger) to get #cfa7a0fwood#n
310,Excellent. Cut trees with an axe to #cfa7a0fgather wood#n faster
311,Now open the #cfa7a0fbackpack#n and create a #cfa7a0ftoolbox#n using #cfa7a0fplanks#n
312,Tap to #cfa7a0fmake#n a tag
313,#cfa7a0fToolbox#n can help you make many advanced items. It’s essential to your adventures
314,Put the new #cfa7a0ftoolbox#n into the #cfa7a0fShortcut Bar#n and select it
315,Tap ground to place the #cfa7a0ftoolbox#n
316,#cfa7a0fTap#n to open the toolbox (Finger)
317,Item is created successfully. You can gather lower level ores with the #cfa7a0fwood pickaxe#n in the game
318,"Tap #cfa7a0fBread#n (put into the Item Shortcut Bar), and the #cfa7a0fUse button#n will appear"
319,#cfa7a0fLong press#n the #cfa7a0fUse button#n in the right to eat the bread
320,The #cfa7a0fUse button#n only appears when selecting usable items in the Item Shortcut Bar
321,Let’s learn how to put on the #cfa7a0fhelmet#n you just got. Open the backpack first
322,Tap the #cfa7a0fEquipment#n tag
323,Tap the #cfa7a0fhelmet#nto wear it
324,Description and properties of #cfa7a0fhelmet#n appear here. Tap the#cfa7a0fEquip#n button
325,Excellent！ Let’s fight some #cfa7a0fmonsters#n! Tap #cfa7a0f×#n on the upper left to close the menu
326,"Caution! A monster is approaching, #cfa7a0fSwipe the screen#n to left or right to face the monster. #cfa7a0fTap#n the monster to attack"
327,Congratulations! You have completed the new player training\n New Adventures are waiting for you! Let’s begin!
328,Name:
329,Current task: #cfa7a0fGet familiar with the basic control#n
330,Cut trees and gather #cfa7a0fwood#n
331,Make a #cfa7a0ftoolbox#n
332,Make a #cfa7a0fwood pickaxe#n
333,Eat some #cfa7a0fbread#n
334,Defeat a #cfa7a0fmonster#n
335,This map has been updated. Please download the latest version. 
336,@Null@
337,@Null@
338,@Null@
339,System in maintenance! Cannot share maps temporarily.
340,Need more players to start a game
341,@Null@
342,Home level hasn't reached 2. Map sharing is only visible to you. 
343,Account created less than 7 days. Map sharing is only visible to you. 
344,The map only visible to you. Cannot be shared.
345,The author has not opened the download permission and cannot download
346,@Null@
347,@Null@
348,@Null@
349,Facebook
350,Active
351,Name
352,Author
353,login Failed - some functions will not be avaliable
354,"Updating,please wait"
355,@Null@
356,@Null@
357,Cannot switch across platforms
358,name contains invalid symbols
359,UID:
360,Current time:
361,Current version:
362,Free
363,(Ripe)
364,(Get 1)
365,(Get 10)
366,You’re in this friend’s Garden
367,@Null@
368,Summon Mount
369,Reward Received
370,Open again
371,10 more times
372,Mini Beans
373,Experience
374,Skills:
375,Effects:
376,Insufficient amount. You can get more via Garden fruits
377,Insufficient amount. You can get it via Garden fruits
378,Craft recipes
379,Materials from:
380,Unlocking progress
381,Confirm
382,It is not the time to get a mount yet
383,Fireworks(Free #c1b9e1eMinibeans#n as bonus) 
384,This friend has not adopted a plant. Try others
385,"Insufficient Mini Beans,please purchase"
386,Server is busy. Please restart the game and try again
387,Recycle all
388,Recycle 1
389,Unlocked
390,Can be use in Home after unlock and obtain shards from events or Garden Fruit
391,You can’t summon a Prime Mount here!
392,Got a Prime Mount successfully
393,Watered successfully. Got EXP*@1 and Mini Beans *@2
394,Caught insects successfully. Got EXP*@1 and Mini Beans *@2
395,Garden
396,Add some friends now
397,Please go to the saves and tap the Mount button on the right of the screen to use it
398,Your plant feels good!
399,Tap to check the rules for Garden fruits
400,Mini Beans:
401,Fruits:
402,Watering:
403,You only get a bonus once when you adopt a plant for the 1st time!
404,Sign in and help friends to water plants. You have a chance to get Mini Beans when the fruit is ripe. Adopt a plant for 1st time allows to get #c0aaa1aMini Beans x 200#n.
405,Wait for the fruits to mature naturally or grow them with Mini Beans. Ripe fruits will grant you shards to unlock mounts/character/skin and blocks.
406,Water the plants and they’ll grow faster. Help friends water plants and you’ll have a chance to gain Mini Beans and EXP.
407,Got it
408,Shards
409,Reward limit reached for today
410,Inconvenient tool
411,Room owner has set a protection rule. Visitors can ask the owner for permission
412,Access
413,Free
414,Visitor
415,Can damage and place blocks\n(can be disabled in game)
416,Cannot damage or place blocks\n(can be allowed during game)
417,Collect
418,Survival
419,Creation
420,Fight
421,Circuit
422,Puzzle
423,Parkour
424,Map size:
425,Downloads:
426,Your version is too old. Please update
427,General
428,Tutorial 
429,Skip
430,Continue
431,Continue 
432,Activate
433,Retry
434,Continue downloading
435,Purchase
436,Activate
437,Seconds
438,Sign-in reward
439,Can enter a worldterrain code
440,Commented successfully!
441,"Melee defense: @1, reduces melee and blast damages taken by @2%"
442,Unavailable
443,Cannot be re-opened at the same time
444,[Defense points would be affected by current durability ratio]
445,[Physical damage includes melee/long-range strike/blast]
446,kick #c0aaa1a@1#n out of room?
447,Kick out?
448,Failed to kick out!
449,Respawn in #cffda0a@1#n seconds
450,Show status
451,The host bans this item
452,You have successfully redeemed stars
453,Insufficient Coins. Buy #cfa7a0f@2 Mini Coins#n with #c0aaa1a$@1?#n
454,US$
455,Mini Coins
456,Insufficient Coins 
457,US$
458,Purchase successful. Please check smile fireworks and Mini Beans in your pack.
459,Own
460,Redeem
461,Explore the Unknown
462,Create anything you want
463,Advanced Settings
464,Oh. Field adventure is always a little dangerous...
465,Unknown creatures
466,You still need #c0aaa1a@1 star#n. Do you want to spend #cfa7a0f@2 Mini Coins #nto make up the difference?
467,Use
468,to make up?
469,No enough stars
470,Respawn
471,Drop off all the items and respawn at respawning point
472,Resume
473,#c5aea0a1☆Respawn on the spot without losing items#n
474,Put items in
475,Primary items
476,Secondary items
477,Smelting
478,This enchantment will upgrade this attribute to Level @1
479,Level
480,More than 5 attributes. Tap Enchant to select
481,This attribute conflicts with others
482,Select
483,attributes
484,@1 attributes can be kept after smelting. Please select:
485,attributes. Please select:
486,Please select all @1 attributes
487,Got @1 @2
488,@Null@
489,Put in items to start smelting
490,Please take out smelted items first
491,Congratulations! You have completed the tutorial
492,Receive
493,New
494,Highest level
495,Cannot make 10 draws continuously without a golden fruit
496,Flamas
497,Dragon Scale Monument
498,Remove favorite
499,Added to Favorite successfully
500,Kicked @1 out of room
501,Kick out of room
502,times
503,Can be updated
504,You have downloaded this save
505,Enter his/her UID
506,Not connected to room server
507,Click the button on the right side to delete the save
508,Downloading:
509,Wait for download to start
510,Pause Download 
511,Last login
512,Never logged in
513,Yesterday
514,days ago
515,This save cancelled upload 
516,Logged in
517,Enter notes for map
518,World Exploration
519,Creation of World
520,Enter
521,Unfollow
522,Maps shared with fellows
523,Share this map to get
524,Default
525,Account does not exist
526,Account is frozen
527,Repeated Account name  
528,Ver. Num
529,Creation Time (days)
530,Survived
531,Time:
532,Coordinates:
533,Altitude:
534,Purchasing in process
535,Acquire
536,(Enough acquired)
537,(Sold out)
538,Sell
539,Exchange
540,I have acquired all goods. Please refresh
541,I have sold all goods. Please refresh
542,Succeed
543,Exchange
544,You don’t have enough items to exchange
545,Purchased successfully
546,All goods have been refreshed. Please select
547,Refresh
548,Consume
549,Shelf
550,Need
551,Tracking Tasks
552,@1 repaired successfully!
553,Please put in items to repair
554,Please put in repair materials
555,No enough stars
556,No repair needed
557,Durability:
558,hours
559,seconds
560,Cooling time for laying eggs
561,Your mount is sleeping. Please wait for @1 seconds
562,Update Needed
563,You have no saved maps. So you cannot create a room
564,You haven’t added any games to Favorite
565,Limit reached. Please refresh
566,The room is full
567,Incorrect room password
568,Room has been closed by owner
569,No more room
570,Current network
571,Latest version
572,Client version not compatible with room version
573,Failed to connect 
574,Enter the host’s UID
575,Tap to create a game
576,No games currently
577,Search results
578,Refresh
579,Select a save map first
580,Available Tags 
581,Room password
582,Please enter room password
583,Failed to create a character. Please check network
584,Basic
585,Control
586,Advanced
587,Basic
588,Control
589,Advanced
590,Name
591,Brightness
592,Hide UI
593,Peace mode
594,Music
595,Sound
596,Volume
597,Sensitivity
598,Invert Y-Axis
599,Left-hand mode
600,Crosshair
601,Auto Jump
602,Vibration
603,More games
604,Purchase Successful
605,More #c0aaa1a@2×@3 are needed for this @1 mount. You can use #cfa7a0fMini Coins#n to make up the difference
606,This mount still requires
607,You can also use
608,to  make up the difference
609,Insufficient
610,Go to Buy Coins?
611,Permanent
612,Time-limited offer: #cfa7a0f@1#n days #cfa7a0f@2#n hours #cfa7a0f@3#n mins left
613,Failed to purchase. Please check the network
614,Cancel Use
615,@1 used successfully
616,Skills
617,Upgrade Skill
618,Activate Skill
619,Upgrade talent
620,Used
621,Another#c0aaa1a @1×@2#n are required to activate this skill. You can spend #f7770f@2Mini Coins#n to  make up the difference.
622,More#c0aaa1a @1×@2#n are needed for upgrading this talent. You can also use #cfa7a0f@2Mini Coins#n  make up the difference
623,need
624,Time-limited: #cfa7a0f@1#n days #cfa7a0f@2#nhous #cfa7a0f@3#n mins left
625,Another #c0aaa1a@1×@2#n are required to upgrade this skill. You can also spend #cfa7a0f@2Mini Coins#n to  make up the difference
626,Discount
627,Purchased successfully
628,Sure to withdraw #cfa7a0f@1×1#n to put in your backpack?
629,Update Needed
630,Congratulations! You have unlocked @1
631,Cannot purchase due to network error
632,Unlock new mount:
633,Mount upgrade:
634,(Permanent)
635,@1 skin can be used for another @2 days!
636,Update Needed
637,Activated
638,Unlock
639,Buy now
640,Place
641,Store
642,Withdraw
643,Take off
644,Default Name
645,No enough shards for unlocking
646,See details in store
647,In backpack now
648,Task Completed！
649,Get items!
650,Picked up @2 @1
651,Moved @1 @2
652,Dropped @2 @1
653,Collection rewards:
654,Feedback
655,Feedback
656,"Wanna send feedback or screenshot?
Please send to : miniwantech@gmail.com"
657,QQ:
658,Mobile:
659,(Enter your QQ number)
660,(Enter your mobile phone number)
661,Submit
662,Recommendations submition limit reached today
663,Please enter you feedback before submitting
664,Feedback submitted successfully
665,Too many players submitting feedback now. Please try again later
666,(Locked)
667,Unlock:
668,Reclaim
669,Reclaim
670,More #c0aaa1a@1×@2#n are needed for unlocking this item. You can also use #cfa7a0f@3#n to make up the difference
671,Rewards received successfully
672,Customize rules
673,Custom
674,’s Map
675,Create Map Settings
676,Default
677,Length
678,Size: (1 long block=16 blocks)
679,Width
680,Unlimited
681,Terrain
682,Default
683,Flat
684,Island
685,Create a map
686,Landform:
687,Grassland
688,Desert
689,Forest
690,Ice field
691,Ocean
692,Cliff
693,Pine Forest
694,Jungle
695,Monster spawn:
696,Animals
697,Monsters
698,This landform is unavailable under this terrain
699,Enter code
700,#cfa7a0fThe Host kicks#n@1#cfa7a0f out of room#n
701,#cfa7a0fis kicked out of room#n
702,Need more @ItemName 
703,Need more replacement items 
704,Creative Custom Mode
705,Basic settings
706,Restore\nDefaults
707,Confirm saving
708,Time
709,Failed to pay!
710,Please enter numeric values!
711,Team
712,Score
713,Red team
714,Blue team
715,Green team
716,Purple team
717,Yellow team
718,Orange team
719,Play Mode 
720,Edit Mode
721,Failed to purchase. Please choose an other payment method
722,Payment in progress. Please wait
723,Help
724,Please check your network connection. Refresh a couple times may fix the problem. 
725,Please update to the latest version
726,"If you have any problems or concerns about your purchase, please contact us using the infomation below. We will try to solve the issue as soon as we can. 
 1. Click on the gear icon in the upper-right corner and tap Feedback button.
 
 2. Facebook: 
 https://www.facebook.com/mini.wan.94
 
 3. Twitter: 
 https://twitter.com/miniwantech
 Note: Please provide your UID and attach screenshots to help us locate the problem. Thank you!"
727,Failed to charge. Please check network. If an amount has been deducted from your account. Please retry.
728,Shards owned
729,Enough Players Joined. Starting Game
730,Swamp
731,Share to get Mini Beans!
732,How to get Mini Beans
733,1. Share your dedicated link\n2. You will receive 20 Mini Beans when others click your link\n3. You can receive up to Mini Beans 5 times a day and 20 times a week.
734,Available now
735,This week
736,Copy link
737,Received rewards!
738,My dedicated link:
739,Copied to clipboard!
740,Choose one landform at least
741,Preparing
742,Starter supply chest
743,Revival supply chest
744,Starter supply chest: items players carry when starting the game
745,Revival supply chest: player get these items after respawn
746,Creation
747,Play mode
748,No team
749,Game over
750,Recommended settings
751,Default map settings can help you setup map faster
752,Parkour recommendation
753,Fight recommendation
754,Default
755,’s Map
756,Upper limit for rewards reached today
757,Reached this week’s reward limit
758,Received successfully
759,Incorrect data
760,You don’t have a UID yet
761,Failed to connect. Please open this page again
762,This UID is banned
763,Info
764,Comments
765,Tap or pull upwards to see more comments
766,No comment
767,Write your feedback on this map to help author improve (110 characters at most)
768,Failed to comment. Please try again
769,No comments yet
770,No more comments
771,Please check network and try again
772,Comments deleted successfully!
773,Failed to delete
774,(Higher Configuration)
775,Unable to view yourself
776,"Are you sure you want to cancel sharing？
#cef2d2d(Delete a file after canceling sharing will make this file unrestorable)"
777,You will get rewarded when someone clicks on your dedicated link.
778,Switching UID is disabled
779,Encrypting UID is disabled
780,Garden is closed
781,SMS charging is disabled
782,SDK charging is disabled
783,WeChat Payment
784,Alipay Payment
785,WeChat Payment is disabled
786,Alipay Payment is disabled
787,Cancel order
788,Issues
789,"Payment is in progress. If there is no response within 1 minute, there should be a network problem."
790,Buy 1
791,Buy 10
792,Double!
793,Time: #cfa7a0fNov 15 - Dec 15#n#rEvent: when certain number of #cfa7a0ftotal sign-in#n is reached during the event. You will receive some great rewards here.
794,Thanksgiving feedback
795,Happy Thanksgiving Gifts
796,1 day
797,2 days
798,3 days
799,4 days
800,5 days
801,6 days
802,7 days
803,8 days
804,9 days
805,10 days
806,Happy Thanksgiving Gifts
807,Character
808,Craft
809,Enchant
810,DEF
811,Arrange
812,Sort
813,All
814,Equip
815,Tools
816,Blocks
817,Materials
818,Test description of cream buns has 4 rows in total. Each with 12 characters Test description of cream buns has 4 rows in total. Each with 12 characters
819,Please swipe the screen to turn to @name
820,Ka Ka
821,Ni Ni
822,Use the joystick to move your character.
823,Tutorial
824,Please Swipe joystick to move
825,"Please swpie the screen to turn around 
while moving."
826,"Please swipe the screen 
to look around"
827,"This is the Task Tracking bar. 
A new task is available."
828,Please go beside the Celesthium block
829,Press and hold on the Celesthium block to break it
830,Approach the Celesthium block to pick it up
831,Task completed
832,You are given a backpack to store items
833,Tap the item
834,Drop the item on the ground.
835,Long press to break it and recycle.
836,Pick up the ingredients with @name
837,"When the Shortcut bar is full.
New items will be stored in your Backpack."
838,Tap the backpack to open it
839,Look. Other items are in the backpack.
840,Tap the selected item
841,Then tap the Shortcut bar
842,Look. Items are switched
843,Please collect all ingredients
844,Camera Shake
845,New task
846,Task completed
847,Joining the World: 
848,News
849,Congrats!
850,#c373631Congratulations you finish the newbie tutorial! Start your#n #cfa7a0f new adventure#n #c373631now!#n
851,New Adventure
852,Walk
853,Around
854,Vision
855,Vision
856,Better draw distance (high-end device)
857,Best draw distance. (Great for taking a screenshot)
858,Best performance (for devices with smaller RAM)
859,Balanced. (Good for most devices)
860,Best Visual. Fit for mid- or high-end devices
861,Fog
862,(All behaviors are allowed except prohibited items and friendly fire is off)
863,(Unable to damage and place blocks. Players are for visiting only)
864,(Gunpowder barrel. Flint stone. Magma barrel and Big firecracker are prohibited to use except the Host)
865,Invite your friends on iOS!
866,"1 Invite your friends to download the iOS version and enter your UID in the Inviter’s UID field below. You will both get rewarded with cool bonuses!
2 A successful invitation reward requires that the invited user #cfa7a0flinks an email to his/her UID within the next 24 hours#n.
3 Each newly registering player can only enter ONE Inviter’s UID"
867,Share and book IOS version!
868,Invite iOS Friends
869,Select member rights
870,Current rights of members
871,Room rights (#c0aaa1aFree#n)
872,Room rights (#c0aaa1aVisitor#n)
873,Disable dangerous items (#cef2d2dOff#n)
874,Disable dangerous items(#c0aaa1aOn#n)
875,Fog (Off)
876,Fog (Thin)
877,Fog (Dense)
878,@1 prohibited
879,@1 cancel prohibition
880,Auto purchase when #c0aaa1a MiniBeans#n are not enough
881,Home
882,Plant lv@level rewards
883,Next
884,"1.Each new level rewards Mini Beans and 1 save slot.
2. Level 5/10/15 unlocks additional fruit slots."
885,SMS payment is not supported. Please try another payment method
886,Confirm to recycle
887,You’ll obtain
888,Downloads
889,Name:
890,Mode:
891,New World
892,Filter
893,Invite
894,Buy Items
895,Warehouse
896,Refresh
897,Fav.
898,Filter by tag
899,Standard settings
900,Worldterrain code:
901,Create Map
902,Survived:
903,Copy
904,How to disable blocks:
905,"1. Tap the item bar, tap the red button on the left by the item name to disable it
2. Repeat the steps above to enable"
906,Map sharing
907,Got new skin: @1 dress-up!
908,Unlock new characters:
909,Skill upgrade:
910,Items exchange
911,11 days
912,12 days
913,13 days
914,14 days
915,15 days
916,16 days
917,17 days
918,18 days
919,19 days
920,20 days
921,21 days
922,22 days
923,23 days
924,24 days
925,25 days
926,26 days
927,27 days
928,28 days
929,29 days
930,30 days
931,hours before daily reset
932,minutes before daily reset
933,Mini captain: Please secure your account and personal information.Don’t share your password with anyone.#rWe will never ask your password information. 
934,Lv
935,Bless
936,You now have enough power to grow
937,Event Info:
938,Task 
939,Event Info
940,Please enter the invitee’s UID:
941,Call Back
942,"Invite all players who hasn’t been playing for over 25 days and you have a chacne to win big!
How to call them back?
1. Tell them to login in
2. Tell him to open the bonus page,typing in your uid(you can only get this one chance, don’t type a wrong code!)"
943,"If your were called back, type the UID of the player who send you the invitation:"
944,Save the Earth
945,Earth Protector
946,@Null@
947,"Need more energy. Come on, you can do this!"
948,Join
949,How to get it
950,On Sale
951,On Sale 1
952,On Sale 2
953,On Sale 3
954,On Sale 4
955,On Sale 5
956,On Sale 6
957,On Sale 7
958,@Null@
959,Update Needed
960,@Null@
961,Name
962,No Attack.(#c0aaa1aOn#n)
963,No Attack.(#cef2d2dOff#n)
964,(Players can attack each other)
965,(Players cannot attack each other)
966,Editor Pick
967,"Cannot detect a sim card, purchase failed"
968,Are you sure to wake up at respawning point?
969,Confirm
970,Cancel
971,Redeem Count
972,Redeemed
973,"You had played this map before, how about try again?"
974,Click here to create a new save
975,ภาษาไทย
976,Español
977,Português
978,Français
979,日本語
980,العربية
981,한국어
982,Tiếng Việt
983,Русский
984,Türkçe
985,Italiano
986,Deutsch
987,Indonesia
988,Malay
989,Update Needed
990,Update Needed
991,Update Needed
992,Update Needed
993,Update Needed
994,Update Needed
995,Update Needed
996,Update Needed
997,Update Needed
998,Update Needed
999,Update Needed
1000,Someone is trying to steal my treasures!
1001,Taste my wraith!
1002,Connecting to punch server
1003,Connecting to fowarding server
1004,Attempting to connect to the target directly
1005,Attempting to punch holes
1006,Connected to fowarding server successfully. Host computer logs into fowarding server.
1007,Connected to fowarding server successfully. Guest computer logs into fowarding server.
1008,Punching failure. Attempting to forward via server
1009,Punching failure. Unable to connect with homeowner
1010,Connected to server successfully. Authentication request is being sent to the host computer
1011,Joined the host computer successfully. The first data block is being retrieved.
1012,Mod loaded successfully. Attempting to send a request to the host computer
1013,Who dare disturb my slumber！
1014,Void！ Why are you binding me！
1015,"I'm free.. Thanks, warrior."
1016,Feel the wrath of the land!
1017,Update Needed
1018,"Previous order topup successfully, Mini coins increase @1"
1019,The previous order is being processed. Please try again later
1020,Other payment methods
1021,Get double bonus in Garden!
1022,Bonus: Double Finebird mount!
