id,德语
31,Deine Anzahl an Likes ist aufgebraucht. Bitte versuche es morgen erneut
32,Kartenbeschreibung limitiert. Erstelle eine Karte mit fixierter Größe und beliebigem Terrain geeignet für gewöhnliche Geräte
33,Ultra-genaue Kartenbeschreibung. Erstelle eine Karte in unbegrenzter Größe des Terrains geeignet für Hochleistungsgeräte.
34,Kartenbeschreibung für flaches Gelände. Erstelle eine Karte für flaches Gelände geeignet für das Aufbau.
35,Wähle Gegenstände zur Zusammenfügen aus!
36,Möchtest du diesen Freund wirklich löschen?
37,Instabile Netzwerkverbindung. Bitte versuche es später erneut
38,Du bist jetzt mit diesem User befreundet
39,Du hast die Maximalzahl an Freunden erreicht
40,Du kannst dich nicht selbst als Freund hinzufügen
41,"Hinzufügen des Freundes fehlgeschlagen, bitte versuche es später erneut!"
42,Der Freund wird erfolgreich gelöscht.
43,Während des Spiels kannst du keine archivierte Karte herunterladen. Bitte versuche es im Hauptmenü erneut
44,Keine Freunde in der Nähe gefunden. Bitte versuche es später erneut
45,"Gib einen Aufgaben-Namen ein (Zahlen, Buchstaben oder Sonderzeichen sind erlaubt)"
46,Der gewünschte Aufgaben-Name exisitert bereits (Klicke auf den Text für die Eingabe)
47,High End
48,Mittelklasse
49,Low-End
50,Rückansicht
51,Frontansicht
52,Hauptansicht
53,Sicht(weit)
54,Sicht(mitt)
55,Sicht(nah)
56,Speicher ist voll!
57,Aufgabenpunkte:
58,Keine
59,s Abenteuer
60,s Kreation
61,Mangel an @1
62,@1×@2 hergestellt
63,Freund löschen
64,@1 ist jetzt dein Freund
65,Das Verzauberungsinterface verlassen
66,Nicht genug Sterne für Verzauberung
67,Keine Verzauberungsattribute
68,Zufällige Eigenschaft
69,Dieser Gegenstand ist verzaubert
70,Zubehör-Gegenstand wird nach der Fusion verschwinden.
71,Bitte füge Zubehör-Gegenstand hinzu
72,Bitte wähle Gegenstand zum Verzaubern aus
73,Sterne
74,Mini Münzen
75,Verfügbarer Gegenstand zum Verzaubern:
76,Verfügbare Hauptsgegenstand
77,Verfügbare Zusatzartikel
78,Keine passende Attribute
79,@1 wird erfolgreich verzaubert
80,Bitte füge Gegenstand zum Verzaubern hinzu
81,Vom Rucksack zum Verzauberungsinterface hinzugefügt
82,"Schaffe es, in der Wildnis zu überleben. Sammle Ressourcen und erkunde die Welt"
83,"Du hast viele Ressourcen und kann alles aufbauen, was du willst"
84,Erstelle ein neues Archiv a\nn Starte dein Abenteuer jetzt
85,Du hast noch kein Archiv. #cfa7a0fErstellen#n Sie jetzt.
86,Hier findest du mehr Karten zum #cfa7a0fHerunterladen!#n
87,Neu im Spiel. Vielleicht brauchst du das Anfänger-Training.
88,Wähle einen Charakter aus\n 
89,Bitte wähle einen Charakter aus
90,Das Anfänger-Training ist noch nicht fertig. Fortsetzen?
91,"Wenn du ein Anfänger bist, empfehlen wir dir die Eingabe von #c0aaa1aNewbie-Karte#n"
92,Anfänger-Training Karte
93,Angekommen: Unterwelt
94,Angekommen: Obere Welt
95,Du verlierst wenn du gegen @other kämpfst
96,@self’s Füße krampfen wenn er schwimmt
97,@self Halten Sie sich von Objekten mit hoher Temperatur fern
98,@self springt aus einer Höhe von 10000 Meilen
99,Du benötigst einen Raumanzug
100,Pass auf Kakteen auf!
101,"Du hast soviel Glück, du solltest dir ein Lotterielos kaufen."
102,"Du bist vergiftet. Heilen Sie es, indem Sie etwas frische Milch trinken"
103,@self ist gestorben wie eine Blume.
104,Im Lauf-Modus
105,Im Kriechen-Modus
106,Komm jetzt in meinen Abenteuer-Raum! Meine Freunde und ich warten dort auf dich!
107,Dieser Abenteuer-Raum ist cool! Ich kann einfach nicht aufhören
108,Wer würde jetzt in meinen Abenteuer-Raum kommen?
109,"Wenn du mein Freund bist, komm jetzt in meinen Abenteuer-Raum!"
110,Wer hilft mir Erze auszugraben? Komm jetzt in meinen Abenteuer-Raum!
111,Komm jetzt in meinen Kreationsraum! Hier gibt es sehr viel Spaß!
112,Komm in meinen Kreationsraum um eine Party zu feiern!
113,Herzlich Willkommen in meinem aufwendigen Kreationsraum!
114,Mein Kreationsraum hat auf dich so lange gewartet
115,Ich habe ein großes Haus in meinem Schöpfungsraum. Komm mit und schau es dir an!
116,Vollmond. Dies ist eine besondere Nacht...
117,"Der Mond ist verschwunden, dies ist eine besondere Nacht"
118,Hier gibt es so viele Waren. Was brauchst du? Vielleicht kannst du auch meine Brüder und Schwestern in der Wüste und auf dem Eisfeld suchen.
119,Ich bin in der Wüste aufgewachsen. Ich möchte meine Heimatstadt in eine Oase verwandeln!
120,Es ist kalt auf dem Eisfeld. Ich brauche sehr viele Waren. Kannst du Waren für mich bereitstellen?
121,Nicht genehmigte sensible Wörter werden verwendet! Bitte geben Sie erneut ein
122,Dieser Kasten ist dem Raumbesitzer gewidment. Du darfst sie nicht öffnen.
123,Gib einen neuen Namen ein
124,Bedarf
125,Du kannst nicht im Archive nicht umbenennen 
126,Glückwunsch! Der Name wird erfolgreich geändert
127,Die Umbenennung ist fehlgeschlagen. Bitte überprüfe deine Verbindung und versuche es erneut
128,Gekaufte Gegenstände werden im Paket gespeichert
129,Markiere und ziehe den Gegenstand in den Rucksack im Archiv
130,Dieser Gegenstand kann nur vom Raumbesitzer abgehoben und verwendet werden
131,"Kauf erfolgreich. Bitte öffne das Paket unten links, um deinen Kauf zu überprüfen"
132,Abhebung erfolgreich. Bitte überprüfe deinen Rucksack
133,Extreme Abenteuer Punktestand:
134,Sie werden aus dem Raum entfernt
135,Verbindung fehlgeschlagen. Der Raumbesitzer hat den Mehrspielerraum geschlossen
136,Der Raum ist geschlossen. 
137,Ummöglich zu betreten. Der Download der Karte ist fehlgeschlagen oder die Karte ist beschädigt (Bitte vor dem Teilen sichern)
138,Aktivitätslevel:
139,Leistung freigeschalten:
140,Information
141,Avatar
142,Verwendung
143,Freischaltung
144,Gib den UID des Autors ein
145,UID
146,Instabile Netzwerkverbindung. Bitte übprüfe die Verbindung
147,Wähle eine Kategorie aus
148,Normal
149,Gut
150,Sehr gut
151,Alle Raumbesitzer denen du folgst sind jetzt auf Urlaub…
152,Bitte aktualisieren Sie die Kartenliste und versuchen Sie es erneut.
153,Name
154,Spieler
155,Typ
156,Beschreibung
157,Jetzt Update
158,Die Version deines Spiels ist veraltet. Bitte führe ein Update durch
159,"Diese gespeicherte Karte kann nicht zur Wiederherstellung heruntergeladen werden, weil sie nicht geteilt wird"
160,Bitte lade das Archiv erneut herunter. Möchtest du das Archiv jetzt wirklich herunterladen?
161,Hochladen/Herunterladen ist aufgrund einer instabilen Netzwerkverbindung abgebrochen. Bitte überprüfe deine Verbindung und versuche es erneut
162,"Du verfügst über keine Karten denen du folgst. Schau dir Freunde an, die Karten teilen"
163,Die archivierten Daten werden bei Spieleintritt konvertiert. Dies kann einige Minuten dauern. Bitte verlasse das Spiel nicht
164,Der betretene Raum beim letzten Mal 
165,Du schummelst! Die Bestrafung ist sehr streng.
166,Titel
167,Schild
168,Typ
169,Einführung
170,Öffentlich
171,Privat
172,Eine wunderbare Karteneinführung kann mehr kleine Partner zum Download anlocke\nn (Bis zu 30 Zeichen)
173,Update teilen
174,Folgen
175,Gib die UID des Autors ein
176,Mein Teilen
177,Zurück
178,Keine Beschreibung 
179,Bitte bewerte diese Karte!
180,Bestätigen
181,Archivname kann nicht leer sein
182,Mount’s Fähigkeiten
183,Schlüpfzeit
184,Schnappschuss
185,Erhalten
186,Benutzen
187,Upgrade
188,Du hast keine Archive geteilt
189,Dieser Spieler hat keine Karten geteilt
190,Automatische Bewertung
191,HEISS
192,Bewertung
193,Interessante Themen
194,Neueste
195,Bewertungen
196,Aktivieren 
197,Beschleunigen
198,Ernte
199,"Freunde, die dir geholfen haben:"
200,Pflanze #c0aba1dwächst gut#n
201,Pflanze ist #cffda0adurstig#n
202,Pflanze ist #cff3d2bverwelkt#n
203,Möglich zu erhalten:
204,Countdown:
205,(Beschleunigen)
206,Aktivieren 
207,Besuchen Friends’ Startseite
208,Punktstafel
209,Freunde
210,Fans
211,Avatar
212,Name
213,Besiegen
214,Freund
215,Pferde
216,(Vorschau)
217,Warte auf die Wiederbelegung
218,"Konto wechseln, beachten Sie bitte:#r1.Don't vergessen wichtig zu laden speichern Dateien Verluste#r2 zu verhindern. Wenn Sie ein Kennwort Fehlermeldung auftreten, versuchen Schalter und Login wieder"
219,Instabile Netzwerkverbindung. Der Raum ist geschlossen
220,Die Schließung des Raumes wird alle Spieler hinauswerfen
221,Das Verlassen des Spiels wird alle Spieler hinauswerfen
222,Start Spiel: 3
223,Start Spiel: 2
224,Start Spiel: 1
225,Los!
226,Habs!
227,Standard
228,Hinweis
229,@self hat @other schwer getroffen!
230,@self’s Schlag trifft @other !
231,@self sendet @other freundlich zurück zum Wiederbelebungspunkt!
232,@self macht eine Doppel-Schlag!
233,@self macht eine Dreifach-Schlag!
234,@self ist so scharf!
235,@self kann nicht gestoppt werden!
236,@self dominiert dieses Spiel!
237,@self führt das Team zum Sieg!
238,@self ist verrückt! Wer kann ihm aufhalten?
239,@self ist wie ein Gott!
240,@self ist legendär! Bitte hör auf damit!
241,Version wird upgedatet!
242,Keine Neunigkeit!
243,@self beendet @other’s Dreifach-Schlag!
244,@self beendet @other’s Schärfe!
245,@self beendet @other’s unaufhaltsamen Zustand!
246,@self beendet @other’s Dominanz des Spiels!
247,@self beendet @other 's Legendär.
248,@self beendet @other’s Verrücktheit!
249,@self beendet @other’s gott-ähnlichen Zustand!
250,@self beendet @other’s Legendär!
251,Dein Pferd kann nun Junge gebären
252,Das Pferd kann erst nach @num Tagen im Spiel geboren werden
253,Du kannst dich im momentanen Status nicht setzen
254,Zu weit entfernt um sich zu setzen
255,Straßenhändler
256,(Neuankömmlinge)
257,Herzlich Willkommen! Kann ich dir helfen?\n
258,verlassen
259,Übrig:
260,Ausverkauft
261,Straßenhändler
262,Der Straßenhändler verlässt…
263,Zeichnung
264,"Ooh, ooh, ooh, Was willst du?"
265,@Null@
266,Aufladung fehlgeschlagen. Bitte versuchen Sie es später erneut
267,"Die Version ist zu alt, um Skin zu zeigen"
268,Auf Hauptseite - Mein Garten - Sammeln kannst du nach Freischaltung verwenden und Teile erhalten.
269,Das Archiv kann nicht gespeichert werden. Zu wenig Speicherplatz. Bitte lösche Daten und versuche es erneut
270,Sieg
271,Fehlschläge
272,Remis
273,Aktivierungscode
274,Aktivierungscode für die Geschenktasche
275,Aktiviert!
276,Überprüfen Sie die Belohnung in der Mall
277,Pack
278,@Null@
279,Bitte gib den Aktivierungscode ein 
280,@Null@
281,Bitte gib den Aktivierungscode ein!
282,Instabile Netzwerkverbindung! Bitte überprüfen!
283,Dieser Aktivierungscode wird bereits verwendet. Du kannst Geschenke nur einmalig erhalten
284,Der eingegebene Aktiverungscode ist nicht korrekt
285,Herzlichen Glückwunsch! Du hast dein Geschenkepaket aktiviert
286,Instabile Netzwerkverbindung/falsche Plattform/die selbe Art von Geschenkepaket erhalten
287,Gedrückt halten
288,"Klick den Boden, um die Werkzeugkiste zu platzieren!"
289,Mein Archiv
290,Online
291,Allgemein
292,Gebäude
293,Maschinen
294,Rucksack
295,Werkzeuge
296,Feldfrüchte
297,Gemischtwaren
298,Block
299,Bearbeiten
300,"Fehlende #cfa7a0fBretter#n. Sammle Holz, um ein paar Bretter herzustellen."
301,Wähle das Icon #cfa7a0fWerkzeugkasten#n. Und klicke dann auf den #cfa7a0fErstellen#n-Button auf der rechten Seite.
302,"Fehlende Materialien für die Herstellung einer #cfa7a0fHolzspitzhacke#n. Mehr Bäume fällen, um #cfa7a0fHolz#n zu bekommen"
303,Wähle #cfa7a0fHolzspitzhacke#n. Und tippe Sie dann auf den #cfa7a0fErstellen#n-Button auf der rechten Seite.
304,Willkommen in der Miniworld. Lassen Sie uns uns #cfa7a0fbegin unser Abenteuer#n erste. #cfa7a0fTap#n der Bildschirm zu starten
305,"#cfa7a0fBildschirm schieben#n nach links oder rechts, um nach vorne zu sein"
306,"#cfa7a0fSchiebe#n den Hebel um ihn zu #cfa7a0fbewegen#n. Versuche, vorwärts zu gehen"
307,#cfa7a0fDen Block lange drücken#n (Pfeil) für kontinuierliche Sammlung bis #cfa7a0fder Block zerstört ist#n
308,Ausgezeichnet. Alle Blöcke können zerstört und erhalten werden. Klicke auf Belohnungen #cfa7a0fErhalten#n
309,"Folge dem Pfeil, um Bäume zu finden. Baumwürfen #cfa7a0flang drücken#n, um #cfa7a0fHolz#n zu erhalten"
310,"Ausgezeichnet. Fälle Bäume mit einer Axt, um #cfa7a0fHolz schneller zu erhalten#n"
311,"Jetzt den #cfa7a0fRucksack#n öffnen, um einen #cfa7a0fWerkzeugkasten#n mit #cfa7a0fBretter#n herzustellen"
312,Klicke auf das #cfa7a0fHerstellen#n-Schild
313,"Mit dem #cfa7a0fWerkzeugkasten#n können viele fortgeschrittene Gegenstände hergestellt. Das ist für das tägliche Leben, Reisen und Abenteuer notwendig"
314,Den neu #cfa7a0fWerkzeugkasten#n in die #cfa7a0fSchnellzugriffsleiste#n einfügen und auswählen
315,"Auf den Boden klicken, um den #cfa7a0fWerkzeugkasten#n zu platzieren"
316,"#cfa7a0fKlicke#n, um den Werkzeugkasten zu öffnen (Finger)"
317,Der Gegenstand wird erfolgreich hergestellt. Mit der #cfa7a0fHolzspitzhacke#n kannst du primäres Erz im Spiel abbauen
318,Klicke #cfa7a0fBrot#n (Lege es in die Schnellzugriffsleiste). Dann tritt #cfa7a0fVerwenden-Button#n auf.
319,"#cfa7a0fLanger Druck#n auf #cfa7a0fVerwenden-Button#n auf der rechten Seite, um Brot zu essen"
320,"Die Schaltfläche für #cfa7a0f verwenden wird#n nur angezeigt, wenn verwendbare Elemente in der Elementverknüpfungsleiste ausgewählt werden"
321,"Setzen Sie den #cfa7a0fHelm#n auf, den du gerade bekommen hast. Öffne zuerst den Rucksack"
322,Klicke auf das #cfa7a0fRollenausrüstung#nSchild
323,Klicke #cfa7a0fHelm#n
324,Beschreibung und Eigenschaften von #cfa7a0fHelm#n erscheinen. Klicke auf den #cfa7a0fAusrüstung#n Button
325,"Ausgezeichnet. Ist es sehr einfach? Lass uns #cfa7a0fMonster#n in den Arsch treten! Tippe oben links auf #cfa7a0f×#n, um die Schnittstelle zu schließen"
326,"Vorsicht! Ein Monster nähert sich. #cfa7a0fBildschirm schieben#n nach links oder rechts. #cfa7a0fKlicke#n auf das Monster, um es anzugreifen"
327,Herzlichen Glückwunsch! Du hast das Neulingstraining abgeschlosse\nnBeginne jetzt ein neues Abenteuer
328,Name:
329,Aktuelle Aufgabe: #cfa7a0fmit den Abläufen vertraut werden#n
330,Aktuelle Aufgabe: Fälle Bäume für #cfa7a0fHolz#n
331,Aktuelle Aufgabe: Stelle einen #cfa7a0fWerkzeugkasten#n her
332,Aktuelle Aufgabe: Stelle eine #cfa7a0fHolzspitzhacke#n her
333,Aktuelle Aufgabe: Esse #cfa7a0fBrot#n
334,Aktuelle Aufgabe: Besiege ein #cfa7a0fMonster#n
335,Diese Karte wird aktualisiert. Bitte laden Sie die neueste Version.
336,@Null@
337,@Null@
338,@Null@
339,Systemwartung! Kann nicht Karten vorübergehend teilen.
340,"Nicht genügend Spieler, um ein Spiel zu starten"
341,@Null@
342,Startseite Ebene nicht erreicht 2. Map-Sharing nur für Sie sichtbar ist.
343,Konto erstellt weniger als 7 Tage. Map-Sharing ist nur für Sie sichtbar.
344,Die Karte nur für Sie sichtbar. Kann nicht mit anderen geteilt werden.
345,Der Autor hat die Download-Berechtigung geöffnet und kann nicht herunterladen
346,@Null@
347,@Null@
348,@Null@
349,Facebook
350,Aktiv
351,Name
352,Autor
353,Login fehlgeschlagen - Teilfunktionen nicht verfügbar
354,"Aktualisierung läuft, bitte warte einen Moment"
355,@Null@
356,@Null@
357,Der Wechsel zwischen Plattformen ist nicht erlaubt
358,Symbole im Namen sind nicht erlaubt
359,UID:
360,Aktuelle Zeit:
361,Aktuelle Version:
362,Gratis
363,(Reif)
364,(Ernten 1)
365,(Ernten 10)
366,Du bist im Garten dieses Freundes
367,@Null@
368,Pferd beschwören
369,Bonus im Paket 
370,Nochmals öffnen
371,Noch 10 mal
372,Mini Bohnen
373,Erfahrung
374,Fähigkeiten:
375,Verkleidungseffekte:
376,Mangelhaft. Du bekommst es über die Früchte im Garten
377,Mangelhaft. Du bekommst es über die Früchte im Garten
378,Handwerkliche Rezepte
379,Quelle der Teile
380,Freischaltungsvorgang
381,Bestätigen
382,"Es ist noch nicht an der Zeit, ein Pferd zu bekommen"
383,Kaufe Feuerwerk (Hole #c1b9e1e Mini Bohnen#n als Bonus)
384,Dieser Freund hat keine Pflanze adoptiert. Versuche es bei einem anderen
385,Mini Bohnen Unzureichend
386,Der Server ist ausgelastet. Bitte starte das Spiel erneut und versuche es nochmals
387,Alle zurückgewinnen
388,Zurückgewonnen 1
389,Freigeschaltet
390,Kann die Anwendung im Heim nach entriegeln und erhalten Scherben aus Ereignissen oder Garten Obst sein
391,"Hier ist nicht der geeignete Ort, ein Fohlen zu machen!"
392,Du hast erfolgreich ein Pferd erhalten
393,Erfolgreich bewässert. Erhalt @1 Erfahrungspunkte und @2 Mini Bohnen
394,Du hast erfolgreich entwurmt. Erhalt @1 Erfahrungspunkte und @2 Minibohnen 
395,Zuhause
396,Füge jetzt Freunde hinzu
397,Bitte gehe zu den Archiven und drücke den Pferde-Button auf der rechten Seite um es zu nutzen
398,Deiner Pflanze geht es jetzt gut
399,Hier klicken um die Regeln für Gartenfrüchte zu sehen
400,Mini Bohnen:
401,Früchte:
402,Bewässerung:
403,"Du erhältst einen Bonus, nur wenn du eine Pflanze zum ersten Mal adoptiert!"
404,"Wenn du dich einloggst oder deinen Freunden bei der Bewässerung von Pflanzen hilfst oder wenn Früchte reifen, hast du die Chance, Mini Bohnen zu erhalten. Du kannst #c0aaa1aMini Bohnen *200#n erhalten, wenn du eine Pflanze adoptierst."
405,"Warte bis die Früchte von selbst reifen oder beschleunige sie mit Mini Bohnen. Reife Früchte garantieren dir Pferd, Charakter, Avatar und Teile von Block."
406,Bewässere die Pflanzen um ein schnelleres Wachstum zu ermöglichen. Hilf deinen Freunden bei der Bewässerung und erhalte die Chance auf Mini Bohnen und EXP.
407,Habs!
408,Teile
409,Die Obergrenze für Belohnungen wurde für heute erreicht
410,Unbequemes Werkzeug
411,Der Raumbesitzer hat Schutz eingestellt. Besucher können um eine Genehmigung bitten
412,Zugriff
413,Frei
414,Besucher
415,Blöcke können zerstört und platziert werde\nn(kann während des Spiels deaktiviert werden)
416,Blöcke können nicht zerstört oder platziert werde\nn(kann während des Spiels aktiviert werden)
417,Sammeln
418,Überleben
419,Kreation
420,Kampf
421,Schaltung
422,Puzzle
423,Parkour
424,Kartengröße:
425,Downloads:
426,Deine Version ist veraltet. Bitte update die Version
427,Allgemein
428,Training
429,Überspringen
430,Weiter
431,Weiter zum Spiel
432,Zum Aktivieren
433,Erneut versuchen
434,Download fortsetzen
435,Kauf
436,Aktivierung
437,Punkt
438,Anmeldebonus
439,Ein Weltgelände-Code kann eingegeben werden
440,Kommentieren erfolgreich
441,"Nahkampf Verteidigung: @1, reduziert melee und sprengt Schäden an @2%"
442,Nicht verfügbar
443,Kann nicht zur gleichen Zeit wieder geöffnet werden
444,[Verteidigungspunkte werden von das aktuelle Lebensdauer-Verhältnis beeinträchtigt]
445,[Physischer Schäden inkludieren Nahkampf/Fernschläge/Explosionen]
446,Möchtest du #c0aaa1a@1#n wirklich aus dem Raum werfen?
447,Hinauswerfen?
448,Hinauswerfen fehlgeschlagen!
449,Überlebe in #cffda0a@1#n Sekunden
450,Status zeigen
451,Der Host verbietet diesen Artikel
452,Der Tausch gegen Sterne ist erfolgreich
453,Zu wenig Coins. Buy #cfa7a0f@2 Mini-Münzen#n mit #c0aaa1a$@1?#n
454,US$
455,Mini Münzen
456,Münzen unzureichend
457,US$
458,Kauf erfolgreich abgeschlossen. Bitte überprüfe die Lächelfeuerwerk und Mini Bohnen in deinem Paket.
459,Du hast
460,Bestätigen
461,Erforsche das Unbekannte
462,Erstelle was du willst
463,Erweiterte Einstellungen
464,Oh. Feldabenteuer sind immer etwas gefährlich…
465,Unbekannte Kreaturen
466,"Du brauchst noch #c0aaa1a@1 Sterne#n. Möchtest du #cfa7a0f@2 Mini Münzen#n ausgeben, um das Defizit auszugleichen?"
467,Verwenden
468,Das Defizit ausgleichen?
469,Nicht genügend Sterne
470,Respawn
471,Ziehe alle Gegenstände ab und respawne am Respawnpunkt
472,Fortsetzen
473,"#c5aea0a1 ☆ Respawn auf der Stelle, ohne Gegenstände zu verlieren#n"
474,Füge Gegenstand hinzu
475,Hauptgegenstand
476,Sekundärer Gegenstand
477,Fusion
478,Diese Verzauberung wird dieses Attribute auf Level @1 aktualisieren
479,Level
480,"Mehr als 5 Attribute. Klicke Verzauberung, um auszuwählen."
481,Dieses Attribute steht in Konflikt zu anderen
482,Auswählen
483,Attribute
484,@1 Attribute kann nach der Fusion behalten werden. Bitte wähle aus:
485,Attribute. Bitte wähle aus:
486,Bitte wähle @1 Attribute
487,Du hast @1 @2
488,@Null@
489,Füge Material hinzu um das Schmelzen automatisch zu starten
490,Bitte hole geschmolzene Gegenstände erst heraus
491,Herzlichen Glückwunsch! Du hast das Anfängertraining abgeschlossen
492,Erhalten
493,Neu
494,Höchstes Level
495,Ohne goldene Früchte kannst du 10 Lotterie in einer Reihe nicht machen
496,Flamas
497,Drachenmonument
498,Favoriten abbrechen
499,Erfolgreich zu Favoriten hinzugefügt
500,@1 wird erfolgreich aus dem Raum geworfen
501,Aus dem Raum werfen
502,Mal
503,Kann aktualisiert werden
504,Du hast dieses Archiv heruntergeladen
505,Gib seine/ihre UID ein
506,Keine Verbindung zum Raumserver
507,Klicken Sie auf die Schaltfläche auf der rechten Seite das Archiv löschen
508,Wird heruntergeladen:
509,In der Warteschlange:
510,Download pausiert
511,Letzte Anmeldung
512,Niemals eingeloggt
513,Gestern
514,Tage her
515,Dieses Archiv wird nicht geteilt
516,Eingeloggt
517,Gib Notizen für deine Karte ein
518,Erkundung der Welt
519,Erschaffung der Welt
520,Enter
521,Nicht folgen
522,"Karten, die du mit Freunden geteilt hast"
523,Teile diese Karte zu erhalten
524,Standard
525,Konto existiert nicht
526,Konto gesperrt
527,Der Kontoname ist bereits in Verwendung
528,Version Nr.
529,Schaffung
530,Überlebenstage
531,Zeit:
532,Koordinaten:
533,Höhe:
534,Lädt gerade
535,Erwerben
536,(Genug erwerben)
537,(Ausverkauft)
538,Verkaufen
539,Austausch
540,Ich habe alle Waren erhalten. Bitte aktualisieren
541,Ich habe alle Waren verkauft. Bitte aktualisieren
542,Erfolg
543,Austausch
544,Du hast nicht genügend Artikel um zu tauschen
545,Kauf erfolgreich
546,Alle Waren wurden aktualisiert. Bitte wähle aus
547,Aktualisieren
548,Konsumieren
549,Regal
550,Bedarf
551,Verfolgungserfolge
552,@1 erfolgreich repariert!
553,Bitte füge Gegenstand zum Reparieren hinzu
554,"Bitte füge Material hinzu, um zu reparieren"
555,Nicht genügend Sterne
556,Keine Reparatur notwendig
557,Haltbarkeit:
558,Stunden
559,Sekunden
560,Abkühlzeit für Eier
561,Dein Pferd schläft. Warte noch @1 Sekunden
562,@Null@
563,Du hast kein Archiv. Ohne Archiv kannst du keinen Raum erstellen
564,Du hast keine Räume zu den Favoriten hinzugefügt
565,Obergrenze erreicht. Bitte aktualisieren
566,Der Raum ist voll
567,Falsches Raumpasswort
568,Der Raum wird vom Besitzer geschlossen
569,Kein Platz mehr
570,Aktuelles Netzwerk
571,Aktuelle Version
572,Kundenversion passt nicht zur Raumversion
573,Verbindung fehlschalgen
574,Gibt die UID des Raumbesitzers ein
575,Klicke hier um einen Raum zu erstellen
576,Kein Platz verfügbar
577,Suchergebnisse
578,Aktualisieren
579,Wähle vorher ein Archiv aus
580,Verfügbares Schild
581,Raum Passwort
582,Bitte gib das Raum Passwort ein
583,Bei der Erstellung der Aufgabe ist ein Fehler aufgetreten. Bitte überprüfe deine Verbindung
584,Standard
585,Kontrolle
586,Fortgeschrittene Einstellungen
587,Standard
588,Kontrolle
589,Fortgeschritten
590,Name
591,Helligkeit
592,Versteckte UI
593,Friedensmodus
594,Musik
595,Musikeffekt
596,Lautstärke
597,Sensibilität
598,Y-Axe umkehren
599,Linkshänder-Modus
600,Fadenkreuz
601,Auto-Springen
602,Vibration
603,Mehr Spiele
604,Erfolgreich geladen
605,"Weitere #c0aaa1a@2×@3 sind für dieses @1 Pferd erforderlich. Du kannst auch #cfa7a0fMini Münzen#n verwenden, um das auszugleichen"
606,Dieses Pferd braucht immer noch
607,Benutzen
608,Um auszugleichen
609,Unzureichend
610,Kaufen mit Mini Münzen?
611,Permanent
612,ime-begrenztes Angebot: #cfa7a0f @1 #n Tage #cfa7a0f @2 #n Stunden #cfa7a0f @3 #n Minuten übrig
613,Kauf fehlgeschlagen. Bitte überprüfe deine Verbindung
614,Abbrechen
615,@1 erfolgreich verwendet
616,Fähigkeiten
617,Verbessern
618,Aktivieren
619,Fähigkeiten-Upgrade
620,Verwendet
621,"Weitere #c0aaa1a@1×@2#n sind erforderlich, um diese Fähigkeit zu aktivieren. Du kannst #cfa7a0f@2Mini Münzen#n ausgeben, um das Defizit auszugleichen."
622,"Weitere #c0aaa1a@1×@2#n werden für die Verbesserung dieses Geschenks benötigt. Du kannst auch #cfa7a0fMini Münzen#n verwenden, um das auszugleichen"
623,Benötigt
624,Zeitlich begrenzte: #cfa7a0f@1 #n Tage #cfa7a0f@2#nhous #cfa7a0f@3#n Minuten übrig
