id,西班牙语
89,Elige un personaje.
90,Aún no has completado el entrenamiento para novatos. ¿Continuar?
91,"Si eres nuevo, te recomendamos que accedas #c0aaa1aal mapa guía#n."
92,Mapa Tutorial
93,Has llegado: mundo subterráneo
94,Has llegado: superficie del mundo
95,Pierdes al luchar con @other.
96,"@self, presta atención al consumo de oxígeno"
97,@self ¡Ten cuidado de mantenerte alejado de los objetos calientes!
98,Lugar alto es muy peligroso! Cuidado!
99,Usted necesita un traje espacial
100,¡Cuidado con los cactus!
101,Tienes tanta suerte que deberías comprar lotería.
102,Estás envenenado. Cúralo bebiendo un poco de leche fresca.
103,@self murió como una flor.
104,Estás en modo Carrera.
105,Estás en modo Sigilo.
106,¡Ven a mi sala de aventuras ahora! ¡Mis compañeros y yo te estamos esperando!
107,¡Esta sala de aventuras es genial! No puedo parar.
108,¿Quién quiere venir ahora a mi sala de aventuras?
109,"¡Si eres mi colega, ven ahora a mi sala de aventuras!"
110,¿Quién me ayuda a cavar en busca de minerales? ¡Ven a mi sala de aventuras ahora!
111,¡Ven a mi sala de creación ahora! Esto es pura diversión.
112,¡Ven a una fiesta en mi sala de creación!
113,Te doy la bienvenida a mi sala de creación.
114,¡Mi sala de creación ha esperado mucho tiempo!
115," ¡Ven a echar un vistazo!"
116,La luna está llena. Es una noche especial...
117,La luna se ha ocultado.
118,Aquí hay muchas cosas. ¿Qué necesitas? Tal vez puedes visitar a mis hermanos y hermanas del desierto y de las zonas heladas.
119,Me crié en el desierto. ¡Quiero más objetos para convertirlo en un oasis!
120,Hace frío en las zonas heladas. Necesito muchos objetos. ¿Me lo puedes traer?
121,Hay palabras conflictivas. Introduce otras.
122,La caja de almacenamiento sirve exclusivamente al dueño de la sala. No puedes abrirla.
123,Introduce un Nom. nuevo.
124,Necesita
125,No se puede cambiar el Nom. en los archivos.
126,¡Enhorabuena! El Nom. se ha cambiado a
127,Error al cambiar de Nom.. Comprueba la red y vuelve a intentarlo.
128,Objetos comprados guardados en el paquete.
129,"Toca y pon un objeto en la mochila, dentro de los archivos."
130,Este tipo de objetos solo lo puede extraer y usar el dueño de la sala.
131,Compra realizada. Comprobarlo en el paquete de la esquina inferior izquierda
132,Extracción realizada. Echa un vistazo en la mochila.
133,Puntuación de aventura extrema:
134,Has sido expulsado de la sala. Parece que no le gustas al dueño
135,La conexión falló. El hoster cerró la sala multijugador
136,La sala está cerrada
137,No puede entrar. Error al descargar el mapa o el mapa está dañado. Se recomienda compartirlo previamente por seguridad.
138,Nivel de actividad:
139,Logros desbloqueados:
140,Información
141,Avatar
142,Uso
143,Desbloquear
144,Introduce el UID del autor.
145,UID
146,"Red inestable. Por favor, inténtelo de nuevo más tarde."
147,Seleccionar categoría
148,Normal
149,Buena
150,Excelente
151,Los dueños de salas a los que sigues están de vacaciones...
152,"Lo sentimos, inténtalo de nuevo después de actualizar la lista de mapas."
153,Nombre
154,Jugador
155,Tipo
156,Descripción
157,Actualizar ahora
158,"Versión demasiado antigua. Actualiza, por favor."
159,Este mapa no se puede descargar para recuperarse porque no se ha compartido.
160,Necesita volver a descargar el archivo. ¿Seguro que quieres hacerlo ahora?
161,La subida y descarga se suspenden debido a la inestabilidad de la red. Comprueba la red y vuelve a intentarlo.
162,No hay mapas seguidos. Mira los que comparten tus compañeros.
163,Los datos archivados se convertirán al acceder al juego. Puede que lleve unos minutos. Espera y no salgas.
164,Sala en la que entraste la última vez
165,Estás haciendo trampas. Esto tendrá consecuencias severas.
166,Título
167,Etiqueta
168,Orden
169,Intro.
170,Público
171,Privado
172,Una descripción del mapa buena atraería a más\n gente a descargarlo.\n (Hasta 60 caracteres)
173,Actualización del compartimiento
174,Mis seguidos
175,Introduce UID
176,Mis compartidos
177,Atrás
178,Este tipo es demasiado vago como para poner una descripción.
179,¡Puntúa este mapa si te ha gustado!
180,Confirmar
181,El Nom. del archivo no puede quedar en blanco.
182,Capacidades de la montura
183,Hora de incubar
184,Portada
185,Obtener
186,Usar
187,Mejorar
188,No has compartido el archivo
189,Este jugador no ha compartido ningún mapa.
190,Ranking por defecto
191,Popular
192,Evaluación
193,Temas populares
194,Recientes
195,Rankings
196,Activar
197,Acelerar
198,Cosechar
199,Compañeros que te ayudaron:
200,La planta #c0aba1d crece bien#n
201,La planta tiene #cffda0ased#n.
202,La planta se está #cff3d2bmarchitando#n.
203,Posiblemente conseguirá:
204,Contar:
205,(Acelerar)
206,Activar
207,Visita los jardines de amigos
208,Marcador
209,Amigos
210,Fans
211,Avatar
212,Nombre
213,Derrotas
214,Amigo
215,Monturas
216,(Previsualizar)
217,En Resurreción
218,"Alterar cuentas. Nota: #r1.Subir archivos importantes para caso de extravío. #r2.Si te sale noticia de que la contraseña es incorrecta, altera la cuenta e inicia sesión otra vez"
219,La sala está cerrada debido a la inestabilidad de Internet
220,"Si cierras la sala, se expulsará a todos los jugadores."
221,"Si sales del juego, se expulsará a todos los jugadores."
222,Empezar partida: 3
223,Empezar partida: 2
224,Empezar partida: 1
225,¡Ya!
226,Entendido
227,Restaurar 
228,Notificación
229,¡@self le inflige a @other un golpe fuerte!
230,¡El ataque de @self golpea a @other con precisión!
231,¡@self envía a @other al punto de resurrección  amistosamente !
232,¡@self hace un combo doble!
233,¡@self hace un combo triple!
234,¡@self es muy agudo!
235,¡@self es imparable!
236,¡@self domina este juego!
237,¡@self está a punto de superar a un dios!
238,¡A @self se le ha ido la olla! ¿Quién puede pararlo?
239,¡@self es como un dios!
240,¡@self ha superado a los dioses! ¡Detenlo!
241,Actualización de la versión
242,"¡Ahora, no notificaciones!"
243,¡@self pone fin al combo triple de @other!
244,¡@self pone fin a la agudeza de @other!
245,¡@self pone fin al estado imparable de @other!
246,¡@self pone fin al dominio de la partida de @other!
247,¡@self pone fin a la vía de @other de superar a dios!
248,¡@self pone fin a la locura de @other!
249,¡@self pone fin al estado de dios de @other!
250,¡@self pone fin al supremo de @other!
251,¡Su montura actual está lista para convocar la bebé montural!
252,Bebé montura sólo puede salir a luz después @num dias en el juego
253,No puedes sentarte en el estado actual.
254,Demasiado lejos para sentarte.
255,Vendedor ambulante
256,(Novedades)
257,¡Hola! ¿En qué puedo ayudarte?\n
258,Saliendo
259,Restantes:
260,Agotado
261,Vendedor ambulante
262,El vendedor ambulante se va.
263,Plano
264,"oh, oh, oh, ¿qué necesitas?"
265,@Null@
266,"Fracasa en recargar, por favor inténtelo de nuevo"
267,La versión es demasiado vieja para actualizar la skin
268,El objeto no está desbloqueado y no se puede usar.
269,No se ha podido guardar el archivo porque no hay suficiente espacio. Haz sitio e inténtalo de nuevo.
270,Victoria
271,Derrotas
272,Empate
273,Código de activación
274,Código activación para bolsa de regalo.
275,¡Activado!
276,Ve a la tienda para ver tus recompensas
277,y cliquea Almacen
278,Confirmar
279,Introduce el código de activación para canjear el regalo.
280,"Comunicación oficial del grupo QQ (grupo 1 238888081, grupo 2 238888082, grupo 3 238888083)"
281,¡Introduce el código de activación!
282,Red inestable. Echa un vistazo.
283,Ya se ha usado el código de activación. No puedes recibir regalos repetidamente.
284,El código de activación introducido es incorrecto.
285,¡Enhorabuena! Has activado una bolsa de regalo.
286,"Red inestable, plataforma incorrecta o has recibido la misma bolsa de regalo."
287,Mantén pulsado
288,¡Toca el suelo para colocar la caja de herramientas!
289,Mis archivos
290,En línea
291,Común
292,Construcción
293,Maquinaria
294,Mochila
295,Herramientas
296,Cultivos
297,Artículos
298,Cubos
299,Editar
300,Faltan #cfa7a0ftablones#n. Recoge madera para hacer algunos tablones.
301,"Selecciona el icono de la #cfa7a0fcaja de herramientas.#n Y, después, toca e botón #cfa7a0fHacer#n a la derecha."
302,Faltan materiales para hacer un #cfa7a0fpico de madera#n. Tala más árboles para conseguir #cfa7a0fmadera.#n
303,"Selecciona el #cfa7a0fpico de madera#n. Y, después, toca el botón #cfa7a0fHacer#n a la derecha."
304,MiniWorld te da la bienvenida. Vamos a #cfa7a0fpara iniciar la aventura#n primero. #cfa7a0fToca#n la pantalla para empezar.
305,#cfa7a0fDesliza la pantalla#n a la izquierda o la derecha para mirar hacia delante.
306,#cfa7a0fDesliza#n la mecedora para #cfa7a0fmoverte#n. Intenta caminar hacia delante.
307,#cfa7a0fMantén pulsado el cubo#n (flecha) para recoger continuamente hasta #cfa7a0fdeshacer el cubo.#n
308,Excelente. Todos los cubos se pueden destruir y conseguir. Toca #cfa7a0fRecibir#n para conseguir las recompensas.
309,Sigue la flecha para encontrar árboles. #cfa7a0fMantén pulsados #n los cubos de los árboles (dedo) para conseguir #cfa7a0fmadera.#n
310,Excelente. Tala árboles con un hacha para #cfa7a0fconseguir madera#n más rápido.
311,"Ahora, abre la #cfa7a0fmochila#n para componer una #cfa7a0fcaja de herramientas#n con #cfa7a0ftablones.#n"
312,Toca la etiqueta #cfa7a0fHacer#n.
313,"Con la #cfa7a0fcaja de herramientas,#n se pueden hacer muchos objetos avanzados, por lo que es vital para la vida diaria, para viajar y para vivir aventuras."
314,Pon la nueva #cfa7a0fcaja de herramientas#n en la #cfa7a0fbarra de acceso rápido#n y selecciónala.
315,Toca el suelo para colocar la #cfa7a0fcaja de herramientas.#n
316,#cfa7a0fToca#n para abrir la caja de herramientas (dedo).
317,Se ha creado el objeto correctamente. Puedes explotar los minerales primarios con el #cfa7a0fpico de madera#n del juego.
318,"Toca #cfa7a0fPan#n (en la barra de acceso directo). A continuación, aparecerá el #cfa7a0fbotón Usar.#n"
319,#cfa7a0fMantén pulsado#n el #cfa7a0fbotón Usar#n de la derecha para comer el pan.
320,El #cfa7a0fbotón Usar#n solo aparece al seleccionar objetos usables en la barra de acceso rápido de los objetos.
321,Vamos a aprender a poner el #cfa7a0fcasco#n que acabas de conseguir. Abre la mochila primero.
322,Toca la etiqueta #cfa7a0fEquipo del personaje.#n
323,Toca el #cfa7a0fcasco.#n
324,Aparecen la descripción y las propiedades del #cfa7a0fcasco.#n Toca el botón #cfa7a0fEquipar.#n
325,Excelente. ¿Es muy fácil? ¡Vamos a reventar a los #cfa7a0fmonstruos#n! Toca #cfa7a0f×#n la parte superior izquierda para cerrar la interfaz.
326,¡Cuidado! Se acerca un monstruo. #cfa7a0fDesliza la pantalla#n a la izquierda o a la derecha para enfrentarte al monstruo. #cfa7a0fToca#n el monstruo para atacar.
327,¡Enhorabuena! Has completado el entrenamiento para novatos.\nTe aguardan muchas maravillas. Empieza ya una nueva aventura.
328,Nombre
329,Tarea actual: #cfa7a0fFamiliarízate con las operaciones.#n
330,Tala árboles para conseguir #cfa7a0fmadera.#n
331,Haz una #cfa7a0fcaja de herramientas.#n
332,Haz un #cfa7a0fpico de madera.#n
333,Come #cfa7a0fpan#n
334,Derrota a un #cfa7a0fmonstruo#n
335,Este mapa ha sido actualizado. Descarga la version nueva por favor.
336,@Null@
337,@Null@
338,@Null@
339,Mantenimiento de Sistema. No se puede compartir mapa ahora.
340,No hay suficientes jugadores para empezar una partida.
341,@Null@
342,"Si el nivel de jardín no alcanza el 2, mapa compartido será visible para ti sólo "
343,"Si la cuenta está creada menos de 7 días, mapa compartido será visible para ti sólo "
344,Mapa visible solo a ti. No se puede compartir
345,El autor no ha concedido permiso de descarga. No puede descargar.
346,@Null@
347,@Null@
348,@Null@
349,Facebook
350,Activo
351,Nom.
352,Autor
353,Error de inicio de sesión. Algunas funciones no están disponibles.
354,"Actualizando, por favor espere"
355,@Null@
356,@Null@
357,No se permite cambiar entre plataformas.
358,No se permite el uso de símbolos en el Nom..
359,UID:
360,Hora actual:
361,Versión actual:
362,Gratis
363,(Madurar)
364,(Cosechar 1)
365,(Cosechar 10)
366,Estás en el jardín de este amigo.
367,@Null@
368,Invocación de montura
369,Recompensa recibida
370,Ábrelo de nuevo
371,10 veces más
372,Mini Fríjoles
373,Experiencia
374,Habilidades
375,Efectos
376,Insuficiente. Puedes conseguirlo a través de las frutas del jardín.
377,Insuficiente. Puedes conseguirlo a través de las frutas del jardín.
378,Recetas artesanales
379,Materiales de
380,Proceso Desbloquear
381,Confirmar
382,No es hora de adquirir una montura
383,Fuegos Artificiales (#c1b9e1eMini Frijoles Gratis#n)
384,Este amigo no ha adoptado una planta. Inténtalo con otros.
385,Mini Frijoles insuficiente
386,El servidor está ocupado. Reinicia el juego y vuelve a intentarlo.
387,Reciclar todo
388,Reciclar 1
389,Desbloqueado
390,Este objeto aún no se ha desbloqueado.
391,¡Usted no puede convocar un Montaría Primaria aquí!
392,Obtuvo la Montaría Principal con éxito
393,Riego completado. Has conseguido @1 puntos de experiencia y @2 minifríjoles.
394,Insectos atrapados. Has conseguido @1 puntos de experiencia y @2 mini fríjoles.
395,Jardín
396,Buscar
397,"Por favor, vaya a los archivos y toque el botón Monte a la derecha de la pantalla para usarlo"
398,"Ahora, tus plantas se sienten mejor."
399,Toca para revisar las reglas de las frutas del jardín.
400,Mini Frijoles:
401,Frutas:
402,Riego:
403,¡Ganas 1 bonif. solo cuando siembres una planta por primera vez!
404,Inicie sesión y ayude a sus amigos a regar plantas. Usted tiene la oportunidad de comprar Mini Frijoles cuando la fruta está madura. Adopte una planta por primera vez para obtener #c0aaa1aMini Frijoles *200#n.
405,Esperar a que los frutos maduran naturalmente o cultivarlos con Mini Frijoles. Frutos maduros le concederán fragmentos para desbloquear montajes/papeles/ropas y cubos.
406,Riega las plantas para que crezcan más rápido. Ayuda a tus amigos a regar las plantas y tendrás una oportunidad de ganar mini fríjoles y experiencia.
407,Entendido
408,Fragmentos
409,Has alcanzado el límite de máximo de recompensas por hoy.
410,Herramienta inapropiada
411,El líder de la sala colocó una contraseña. Los visitantes pueden pedir permiso.
412,Acceso
413,Libre
414,Visitante
415,Puede dañar y colocar cubos.\n(Se puede desactivar en el juego).
416,No puede dañar ni colocar cubos.\n(Se puede permitir durante el juego).
417,Recoger
418,Aventura
419,Creación
420,Lucha
421,Circuito
422,Acertijo
423,Parkour
424,Tamaño del mapa:
425,Descargas:
426,Tu versión es demasiado antigua. Actualízala.
427,Gener.
428,Tutorial
429,Omitir
430,Continuar
431,Contin. part.
432,Activar
433,Reintentar
434,Seguir descargando
435,Comprar
436,Activar
437,Puntos
438,Inicio Sesión
439,Puede ingresar un código terreno mundial
440,¡Has hecho un comentario!
441,Defensa cuerpo a cuerpo: @1 reduce el daño cuerpo a cuerpo y de explosión recibidos un @2%.
442,No disponible
443,"El juego ya funciona, no lo puede reiniciar"
444,[Los puntos de defensa se verán afectados por el índice de durabilidad actual.]
445,[El daño físico incluye la explosión o el ataque cuerpo a cuerpo y de larga distancia.]
446,¿Seguro que quieres expulsar a #c0aaa1a@1#n de la sala?
447,¿Expulsar?
448,Error al expulsar.
449,Revivir en #cffda0a@1#n segundos.
450,Mostrar estado
451,El jefe ha baneado este objeto
452,Has canjeado las estrellas.
453,Monedas insuficientes. ¿Comprar @2 minimonedas con $@1?
454,US$
455,Mini Monedas
456,Monedas insuficientes.
457,US$
458,Aĉeta sukceso. Bonvolu kontroli ridetajn fajrejojn kaj Mini Fabojn en via pako.
459,Tienes:
460,Confirmar
461,Explora lo desconocido.
462,Crea lo que quieras.
463,Avanzados
464,"Oh, las aventuras siempre son peligrosas..."
465,Criaturas desconocidas
466,Aún necesitas #c0aaa1a@1 estrellas#n. ¿Quieres gastar #cfa7a0f@2 minimonedas #npara compensar el déficit?
467,Usar
468,para compensar?
469,No hay estrellas suficientes.
470,Resurrección
471,Volver al punto de resurrección
472,Continuar
473,Resucitar al momento\nSin perder los objetos
474,Meter objetos
475,Objetos primarios
476,Objetos secundarios
477,Fundición
478,Este encantamiento mejorará esta propiedad al nivel @1.
479,Nivel
480,Más de 5 atributos. Puntee en Encantar para seleccionar
481,Este atributo tiene conflicto con otros.
482,Selecciona
483,Atributos
484,@1 atributos se pueden mantener después de la fusión. Seleccione:
485,atributos. Selecciona:
486,Por favor seleccione todos @1 atributos.
487,Tienes @1 @2.
488,@Null@
489,Mete objetos para empezar automáticamente la fundición.
490,Saca primero los objetos fundidos.
491,¡Enhorabuena! Has completado el entrenamiento para novatos.
492,Recibir
493,Nuevo
494,Nivel máximo
495,No puedes hacer 10 empates seguidos sin una fruta dorada.
496,Flamas
497,Monumento de escama de dragón
498,Cancelar Favor.
499,Añadido a Favor.
500,Has expulsado a @1 de la sala.
501,Expulsar de sala
502,veces
503,Se puede actualizar.
504,Has descargado este archivo.
505,Introduce su UID.
506,Sin conexión con el servidor de la sala.
507,(Clic en el botón derecho para abrir la lista. Se puede borrar archivos)
508,Descargando:
509,Esperando descarga.
510,Descarga en pausa
511,Reciente
512,No has iniciado sesión.
513,Ayer
514,días antes
515,La subida del archivo se canceló
516,Ingresado
517,Introduce notas para el mapa.
518,Exploración del mundo
519,Creación del mundo
520,Un jugador
521,Dejar de seguir
522,Mapas compartidos con compañeros
523,Comparte este mapa para conseguir
524,Defecto
525,La cuenta no existe.
526,La cuenta está congelada.
527,El Nom. de la cuenta está repetido.
528,N.º de versión
529,Tiempo de creación
530,Tiempo de creación
531,Tiempo:
532,Coordenadas:
533,Altitud:
534,Cargando ahora
535,Adquirir
536,(Ya tienes bastantes.)
537,(Agotado.)
538,Vender
539,Intercambiar
540,He adquirido todos los productos. Actualiza.
541,He vendido todos los productos. Actualiza.
542,Éxito
543,Intercambiar
544,No tienes suficientes objetos para intercambiar.
545,Compra realizada.
546,Todos los productos se han actualizado. Selecciona.
547,Actualizar
548,Consumir
549,Estantería
550,Necesitar
551,Seguimiento de logros
552,¡Se ha reparado @1 correctamente!
553,Mete objetos para repararlos.
554,Mete materiales de reparación.
555,No hay suficientes estrellas.
556,No necesita reparación.
557,Durabilidad:
558,horas
559,segundos
560,Cooldown de huevos
561,Tu montura está durmiendo. Espera otros @1 segundos para invocarla.
562,@Null@
563,"No tienes ningún archivo, así que no puedes crear una sala."
564,No has añadido salas a Favor.
565,Has alcanzado el límite máximo. Actualiza.
566,La sala está llena.
567,Contraseña de sala incorrecta.
568,El dueño ha cerrado la sala.
569,No hay más espacio.
570,Red actual
571,Versión más reciente
572,Versión del cliente incompatible con la de sala.
573,Error al conectar con la sala.
574,Introduce el UID del dueño de la sala.
575,Toca para crear una sala.
576,"Por ahora, no hay sala"
577,Buscar resultados
578,Más salas
579,Selecciona un archivo
580,Se pueden introducir etiquetas.
581,Pon contraseña
582,Introduce la contraseña de la sala.
583,Error al crear un personaje. Comprueba la red.
584,Básico
585,Control
586,Avanzados
587,Básico
588,Control
589,Avanzado
590,Nom.
591,Brillo
592,Ocultando interfaz
593,Modo Paz
594,Mús.
595,Sonido
596,Vol.
597,Sensibilidad
598,Invertir eje Y
599,Modo Zurdo
600,Mira
601,Salto (Auto)
602,Vibración
603,Más juegos
604,Cargado correctamente
605,Se necesita más #c0aaa1a@2×@3 para esta montura @1. También puedes usar #cfa7a0fminimonedas#n para compensar.
606,Esta montura sigue necesitando
607,También puedes usar
608,para compensar
609,Fragmentos insufi.
610,¿Quieres comprar monedas?
611,Permanente
612,Oferta de tiempo limitado: quedan #cfa7a0f@1#ndías#cfa7a0f@2#nhoras#cfa7a0f@3#nminutos
613,Error al comprar. Comprueba la red.
614,Uso Cancelar
615,Se ha usado @1 correctamente.
616,Habilidades
617,Mejorar
618,Habilidad
619,Mejorar talento
620,Usado
621,Se necesitan #c0aaa1a @1×@2#n más para activar esta habilidad. Puedes gastar #cfa7a0f@2 minimonedas#n para compensar el déficit.
622,Se necesitan #c0aaa1a @1×@2#n para mejorar este regalo. También puedes usar #cfa7a0f@2 minimonedas#n para compensar.
623,Necesitar
624,Tiempo limitado: quedan #cfa7a0f@1#ndías#cfa7a0f@2#nhous#cfa7a0f@3#n minutos
625,Se necesitan #c0aaa1a@1×@2#n más para mejorar esta habilidad. También puedes gastar #cfa7a0f @2 minimonedas#n para compensar el déficit.
626,Descuento
627,Compra realizada.
628,¿Seguro que quieres quitar #cfa7a0f@1×1#n de tu mochila?
629,@Null@
630,¡Enhorabuena! Has desbloqueado @1.
631,No se puede cargar debido a un error de red.
632,Desbloquear montura nueva:
633,Mejora de montura:
634,(Permanente)
635,¡El disfraz de @1 se puede usar durante @2 días más!
636,@Null@
637,Activado
638,Desbloquear
639,Comprar ahora
640,Colocar
641,Tienda
642,Retirar
643,Sacar
644,Nom. Defecto
645,No hay suficientes escombros para desbloquear.
646,Ver detalles en la tienda
647,En la mochila ahora
648,¡Tarea terminada!
649,¡Consigue accesorios!
650,Has recogido @2 @1.
651,Has movido @1 @2.
652,Has dejado caer @2 @1.
653,Recomp. recol.:
654,Comentarios
655,Comentarios
656,"Si quieres enviarnos una captura de pantalla, envíala a: miniwantech@gmail.com"
657,@Null@
658,Móvil:
659,(Introduce tu número QQ.)
660,(Introduce tu número de teléfono móvil.)
661,Enviar
662,Has alcanzado el límite máximo de recomendaciones enviadas por hoy.
663,Introduce tus recomendaciones antes de enviar.
664,Recomendaciones enviadas.
665,"Ahora mismo, hay demasiados jugadores enviando recomendaciones. Vuelve a intentarlo más tarde."
666,(Sin desbloquear)
667,Obtener por:
668,Reclamar escombros
669,Reclamar
670,Se necesitan #c0aaa1a@1×@2#n más para desbloquear este objeto. También puedes usar #cfa7a0f@3#n para compensarlo.
671,Recompensas recibidas
672,Personalizar Reglas
673,Personaliz.
674," y su Mapa"
675,Crear Config Mapa
676,Recuperar
677,Longitud
678,Tamaño: (1 bloque largo = 16 cubos)
679,Ancho
680,Sin límites
681,Terreno
682,Defecto
683,Llano
684,Isla
685,Crea un mapa.
686,Relieve:
687,Pradera
688,Desierto
689,Bosque
690,Zona helada
691,Océano
692,Acantilado
693,Coníferas
694,Selva
695,Monstruos:
696,Animales
697,Monstruos
698,Este relieve no está disponible para ese terreno.
699,Introduce números.
700,#cfa7a0fEl dueño de la sala expulsa a #n@1#cfa7a0f de la sala.#n
701,Han expulsado a #cfa7a0f de la sala.
702,Tus @ItemName no son suficientes.
703,Los objetos de sustitución necesarios no son suficientes.
704,Modo Personalización creativo
705,Ajustes básicos
706,Restaurar\nvalores predeterminados
707,Confirmar guardado
708,Tiempo
709,¡Error al pagar!
710,¡Introduce valores numéricos!
711,Equipo
712,Puntuación
713,Equipo rojo
714,Equipo azul
715,Equipo verde
716,Equipo violeta
717,Equipo amarillo
718,Equipo naranja
719,Modo Cambiar
720,Editar cambio
721,Error al cargar. Elige otros medios de carga.
722,Carga en curso. Espera.
723,Ayuda
724,"Comprueba la red. Si han retirado una cantidad de tu cuenta, vuelve a intentarlo."
725,Actualiza a la versión más reciente.
726,"Si tienes algún problema con tu compra, ponte en contacto con nosotros a través de los siguientes pasos y haremos todo lo posible por ayudarte. 
 1. Haz clic en el icono del engranaje, en la esquina superior derecha, y toca el botón Comentarios.
 2. Facebook: 
 https://www.facebook.com/mini.wan.94
 3. Twitter: 
 https://twitter.com/miniwantech
 Nota: No olvides facilitarnos tu UID y adjunta capturas de pantalla para ayudarnos a localizar el problema. ¡Gracias!"
727,"Error al cargar. Comprueba la red. Si han retirado una cantidad de tu cuenta, vuelve a intentarlo."
728,Fragmentos Poseídos
729,Ya hay suficientes jugadores. Puedes empezar una partida.
730,Pantano
731,¡Comparte para conseguir mini frijoles
732,Cómo conseguir mini frijoles
733,1. Comparte tu enlace dedicado.\n2. Recibirás 20 mini frijoles cuando otros hagan clic en tu enlace.\n3. Puedes recibir mini frijoles 5 veces al día y 20 veces a la semana como mucho.
734,Disponible ahora
735,Esta semana
736,Copiar enlace
737,¡Recompensas recibidas!
738,Mi enlace dedicado:
739,¡Copiado al portapapeles!
740,Elige al menos un accidente geográfico.
741,Preparando
742,Cofre de suministros inicial
743,Cofre de suministros de resurrección
744,Cofre de suministros inicial: los accesorios guardados serán los que pueda llevar el jugador inicialmente.
745,Cofre de suministros de resurrección: los accesorios guardados serán los que pueda llevar el jugador después de resucitar.
746,Creación
747,Modo de Juego
748,Sin equipo
749,Fin de la partida
750,Ajustes recomendados
751,Config. prefijadas te ayudarían crear mapas más rápidamente
752,Recomendación de parkour
753,Recomendación de lucha
754,Defecto
755," y su Mapa"
